scenario,accuracy,precision,recall,f1_score,roc_auc
s1_random_1_percent,0.8583321959874437,0.7460426703372333,0.6183685111237878,0.6762320648783531,0.9097705998287626
s2_random_5_percent,0.8560120103725946,0.7367706919945726,0.6195094124358242,0.6730709637434149,0.9095982570040881
s3_simulated_data_provider_withdrawal,0.8576497884536646,0.7388963660834454,0.6263548203080433,0.6779870330348873,0.9099190971200941
s4_random_10_percent,0.8575133069469087,0.7377598926894702,0.6274957216200798,0.6781750924784217,0.9096726591617711
s5_retention_expiry,0.857240343933397,0.7399864222674813,0.6217912150598973,0.675759454432734,0.9096462550948081
