scenario,true_negative,false_positive,false_negative,true_positive
s1_random_1_percent,5205,369,669,1084
s2_random_5_percent,5186,388,667,1086
s3_simulated_data_provider_withdrawal,5186,388,655,1098
s4_random_10_percent,5183,391,653,1100
s5_retention_expiry,5191,383,663,1090
