scenario,false_positive_rate,true_positive_rate,threshold
s1_random_1_percent,0.0,0.0,inf
s1_random_1_percent,0.0,0.022818026240730177,1.0
s1_random_1_percent,0.0,0.10895607529948659,0.9504705667495728
s1_random_1_percent,0.0001794043774668102,0.10895607529948659,0.9488274455070496
s1_random_1_percent,0.0001794043774668102,0.11009697661152311,0.9477830529212952
s1_random_1_percent,0.0003588087549336204,0.11009697661152311,0.9476367235183716
s1_random_1_percent,0.0003588087549336204,0.11865373645179692,0.9411945343017578
s1_random_1_percent,0.0003588087549336204,0.11979463776383342,0.9405165314674377
s1_random_1_percent,0.0003588087549336204,0.12549914432401596,0.9377358555793762
s1_random_1_percent,0.0005382131324004305,0.12549914432401596,0.9373952150344849
s1_random_1_percent,0.0005382131324004305,0.1414717626925271,0.9273211359977722
s1_random_1_percent,0.0007176175098672408,0.1414717626925271,0.9236100316047668
s1_random_1_percent,0.0007176175098672408,0.1466058185966914,0.9181160926818848
s1_random_1_percent,0.000897021887334051,0.1466058185966914,0.9147990942001343
s1_random_1_percent,0.000897021887334051,0.16029663434112948,0.9014648199081421
s1_random_1_percent,0.001076426264800861,0.16029663434112948,0.9012622237205505
s1_random_1_percent,0.001076426264800861,0.16086708499714775,0.8992651700973511
s1_random_1_percent,0.0014352350197344816,0.16086708499714775,0.8981483578681946
s1_random_1_percent,0.0014352350197344816,0.16200798630918425,0.8975296020507812
s1_random_1_percent,0.0016146393972012918,0.16200798630918425,0.897057294845581
s1_random_1_percent,0.0016146393972012918,0.16314888762122076,0.8969188928604126
s1_random_1_percent,0.001794043774668102,0.16314888762122076,0.8956134915351868
s1_random_1_percent,0.001794043774668102,0.16428978893325727,0.8938407897949219
s1_random_1_percent,0.001973448152134912,0.16428978893325727,0.8935381174087524
s1_random_1_percent,0.001973448152134912,0.17341699942954936,0.8877936601638794
s1_random_1_percent,0.002152852529601722,0.17341699942954936,0.8865358829498291
s1_random_1_percent,0.002152852529601722,0.1751283513976041,0.8845058083534241
s1_random_1_percent,0.0023322569070685323,0.1751283513976041,0.883513867855072
s1_random_1_percent,0.0023322569070685323,0.1802624073017684,0.8802703022956848
s1_random_1_percent,0.002511661284535343,0.1802624073017684,0.8801721930503845
s1_random_1_percent,0.002511661284535343,0.18083285795778664,0.8800497055053711
s1_random_1_percent,0.002691065662002153,0.18083285795778664,0.8799009919166565
s1_random_1_percent,0.002691065662002153,0.18254420992584142,0.8775069117546082
s1_random_1_percent,0.0028704700394689632,0.18254420992584142,0.8773726224899292
s1_random_1_percent,0.0028704700394689632,0.1939532230462065,0.8683849573135376
s1_random_1_percent,0.0032292787944025836,0.1939532230462065,0.8674625754356384
s1_random_1_percent,0.0032292787944025836,0.19851682829435255,0.8630192279815674
s1_random_1_percent,0.0034086831718693937,0.19851682829435255,0.8621900081634521
s1_random_1_percent,0.0034086831718693937,0.2002281802624073,0.8608909845352173
s1_random_1_percent,0.003588087549336204,0.2002281802624073,0.8600500226020813
s1_random_1_percent,0.003588087549336204,0.20193953223046207,0.8595910668373108
s1_random_1_percent,0.003767491926803014,0.20193953223046207,0.8589426279067993
s1_random_1_percent,0.003767491926803014,0.2025099828864803,0.8584749102592468
s1_random_1_percent,0.0041263006817366344,0.2025099828864803,0.8551732897758484
s1_random_1_percent,0.0041263006817366344,0.20422133485453509,0.854110598564148
s1_random_1_percent,0.004305705059203444,0.20422133485453509,0.8536800742149353
s1_random_1_percent,0.004305705059203444,0.2116371933827724,0.8461574912071228
s1_random_1_percent,0.004485109436670255,0.2116371933827724,0.8457930088043213
s1_random_1_percent,0.004485109436670255,0.21334854535082715,0.8443766832351685
s1_random_1_percent,0.0046645138141370645,0.21334854535082715,0.8434796929359436
s1_random_1_percent,0.0046645138141370645,0.21505989731888192,0.842226505279541
s1_random_1_percent,0.0052027269465374955,0.21505989731888192,0.8412836194038391
s1_random_1_percent,0.0052027269465374955,0.21620079863091843,0.8385717272758484
s1_random_1_percent,0.005382131324004306,0.21620079863091843,0.8382758498191833
s1_random_1_percent,0.005382131324004306,0.21791215059897318,0.8370105028152466
s1_random_1_percent,0.005561535701471116,0.21791215059897318,0.8365218043327332
s1_random_1_percent,0.005561535701471116,0.22019395322304622,0.8349407315254211
s1_random_1_percent,0.0057409400789379264,0.22019395322304622,0.8346778154373169
s1_random_1_percent,0.0057409400789379264,0.22076440387906446,0.8345931768417358
s1_random_1_percent,0.005920344456404736,0.22076440387906446,0.8343696594238281
s1_random_1_percent,0.005920344456404736,0.2276098117512835,0.8305267095565796
s1_random_1_percent,0.006099748833871547,0.2276098117512835,0.8304675817489624
s1_random_1_percent,0.006099748833871547,0.22875071306332,0.8299676775932312
s1_random_1_percent,0.006099748833871547,0.22989161437535655,0.8294931054115295
s1_random_1_percent,0.006099748833871547,0.23046206503137479,0.8294422626495361
s1_random_1_percent,0.006099748833871547,0.2316029663434113,0.8294048309326172
s1_random_1_percent,0.006099748833871547,0.2327438676554478,0.8285677433013916
s1_random_1_percent,0.006099748833871547,0.2338847689674843,0.8281908631324768
s1_random_1_percent,0.006099748833871547,0.23445521962350258,0.8275651335716248
s1_random_1_percent,0.0062791532113383565,0.23445521962350258,0.8261551260948181
s1_random_1_percent,0.0062791532113383565,0.23559612093553908,0.824838399887085
s1_random_1_percent,0.006458557588805167,0.23559612093553908,0.8247941732406616
s1_random_1_percent,0.006458557588805167,0.24130062749572162,0.8214723467826843
s1_random_1_percent,0.006637961966271977,0.24130062749572162,0.8208917379379272
s1_random_1_percent,0.006637961966271977,0.2418710781517399,0.8208175897598267
s1_random_1_percent,0.0068173663437387875,0.2418710781517399,0.8208118081092834
s1_random_1_percent,0.0068173663437387875,0.2441528807758129,0.820235550403595
s1_random_1_percent,0.007176175098672408,0.2441528807758129,0.8179203271865845
s1_random_1_percent,0.007176175098672408,0.24472333143183114,0.8177852630615234
s1_random_1_percent,0.007534983853606028,0.24472333143183114,0.8151938319206238
s1_random_1_percent,0.007534983853606028,0.24643468339988592,0.8139644861221313
s1_random_1_percent,0.007714388231072838,0.24643468339988592,0.8134089112281799
s1_random_1_percent,0.007714388231072838,0.24928693667997717,0.8118625283241272
s1_random_1_percent,0.007893792608539648,0.24928693667997717,0.8114216923713684
s1_random_1_percent,0.007893792608539648,0.2527096406160867,0.8083447217941284
s1_random_1_percent,0.008073196986006458,0.2527096406160867,0.8076823353767395
s1_random_1_percent,0.008073196986006458,0.2572732458642327,0.8053238391876221
s1_random_1_percent,0.008252601363473269,0.257843696520251,0.8049533367156982
s1_random_1_percent,0.00843200574094008,0.257843696520251,0.8047738671302795
s1_random_1_percent,0.00843200574094008,0.25955504848830574,0.8046987056732178
s1_random_1_percent,0.008611410118406888,0.25955504848830574,0.8044626116752625
s1_random_1_percent,0.008611410118406888,0.2606959498003423,0.8034952878952026
s1_random_1_percent,0.008790814495873699,0.2606959498003423,0.8030458092689514
s1_random_1_percent,0.008790814495873699,0.26183685111237875,0.8024235367774963
s1_random_1_percent,0.00914962325080732,0.26183685111237875,0.8023439049720764
s1_random_1_percent,0.00914962325080732,0.26468910439247006,0.8007623553276062
s1_random_1_percent,0.009329027628274129,0.26468910439247006,0.8004363179206848
s1_random_1_percent,0.009329027628274129,0.2715345122646891,0.7978823781013489
s1_random_1_percent,0.00950843200574094,0.2715345122646891,0.7977100610733032
s1_random_1_percent,0.00950843200574094,0.2778094694808899,0.7944759726524353
s1_random_1_percent,0.00968783638320775,0.2778094694808899,0.7943120002746582
s1_random_1_percent,0.00968783638320775,0.28009127210496293,0.7932785153388977
s1_random_1_percent,0.009867240760674561,0.28009127210496293,0.7932049632072449
s1_random_1_percent,0.009867240760674561,0.28465487735310896,0.7903118133544922
s1_random_1_percent,0.010046645138141371,0.28465487735310896,0.7902168035507202
s1_random_1_percent,0.010046645138141371,0.2875071306332002,0.7885763049125671
s1_random_1_percent,0.01022604951560818,0.2875071306332002,0.7879658937454224
s1_random_1_percent,0.01022604951560818,0.29264118653736454,0.785598635673523
