scenario,model,attack_type,member_set,non_member_set,attack_auc,attack_auc_ci_low,attack_auc_ci_high,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,permutation_p_value,mean_member_score,mean_non_member_score,attack_auc_bootstrap_mean,threshold_balanced_attack_accuracy,attack_threshold,member_count,non_member_count
s1_random_1_percent,baseline,confidence,train,test,0.5049096995533419,0.49735759029610543,0.5130142650040526,0.0,0.008540758723566058,0.048904618444528945,0.115,0.80536366,0.80027926,0.5046329178699849,0.5023823785317085,0.99314475,34189,7327
s1_random_1_percent,baseline,loss,train,test,0.5049098771960647,0.4977602929756439,0.5118493229993918,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.29892817,-0.31255314,0.5052241016341043,0.5023823785317085,-0.006878972,34189,7327
s1_random_1_percent,fully_retrained,confidence,retain,forget,0.48645094013532175,0.4558182821579115,0.5157541182915136,0.0,0.009867935119803823,0.040594439684462434,0.83,0.8069451,0.8050588,0.48669307441622833,0.48598185297892804,0.99351734,33847,342
s1_random_1_percent,fully_retrained,loss,retain,forget,0.4864505513890595,0.45855994540793044,0.5141717601065822,0.0,0.009838390403876266,0.04053535025260732,0.865,-0.29945007,-0.31426173,0.48580316943099816,0.48598185297892804,-0.006503582,33847,342
s1_random_1_percent,fine_tuned,confidence,retain,forget,0.48568584429727374,0.45538211749052365,0.523085957025051,0.0,0.012881496144414572,0.04221939906047803,0.735,0.80750424,0.8071165,0.48626291091127827,0.4845050923168707,0.993896,33847,342
s1_random_1_percent,fine_tuned,loss,retain,forget,0.4856876152524682,0.45453055692480626,0.5170374431329009,0.0,0.012763317280704347,0.04221939906047803,0.835,-0.29705843,-0.3071917,0.48675980703153876,0.4845050923168707,-0.006122589,33847,342
s1_random_1_percent,overfit_control,confidence,retain,forget,0.48990529622724344,0.45676257058552266,0.5193613920450766,0.0052589594351050315,0.007208910686323751,0.03238100865660177,0.745,0.8126713,0.8050822,0.4892163307294245,0.4845050923168707,0.99513173,33847,342
s1_random_1_percent,overfit_control,loss,retain,forget,0.489902229451175,0.4615808537368969,0.5228616698690721,0.004756699264336573,0.006795284663337962,0.03193783791768842,0.805,-0.28587008,-0.3200015,0.49042933094003854,0.4845050923168707,-0.0048799515,33847,342
s2_random_5_percent,baseline,confidence,train,test,0.5049096995533419,0.49735759029610543,0.5130142650040526,0.0,0.008540758723566058,0.048904618444528945,0.115,0.80536366,0.80027926,0.5046329178699849,0.5023823785317085,0.99314475,34189,7327
s2_random_5_percent,baseline,loss,train,test,0.5049098771960647,0.4977602929756439,0.5118493229993918,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.29892817,-0.31255314,0.5052241016341043,0.5023823785317085,-0.006878972,34189,7327
s2_random_5_percent,fully_retrained,confidence,retain,forget,0.504221150991419,0.49183671407277313,0.5167974947269167,0.0,0.009759852216748768,0.054310344827586204,0.3,0.8044118,0.80096483,0.5039860512802404,0.5022442761733736,0.99322647,32480,1709
s2_random_5_percent,fully_retrained,loss,retain,forget,0.5042209257999521,0.48981873888454913,0.5167244885541482,0.0,0.00960591133004926,0.0541564039408867,0.25,-0.2981256,-0.3027954,0.5036191008843359,0.5022442761733736,-0.00679636,32480,1709
s2_random_5_percent,fine_tuned,confidence,retain,forget,0.5022987454853615,0.4881621662752539,0.5147383939470696,0.0,0.009729064039408868,0.04895320197044335,0.385,0.80618393,0.80562377,0.50255122011439,0.5025522390157007,0.9933622,32480,1709
s2_random_5_percent,fine_tuned,loss,retain,forget,0.5022990787687323,0.48769373537156235,0.5172328082979273,0.0,0.00957512315270936,0.048891625615763545,0.34,-0.29795638,-0.2948357,0.502586880444229,0.5025522390157007,-0.0066599846,32480,1709
s3_simulated_data_provider_withdrawal,baseline,confidence,train,test,0.5049096995533419,0.49735759029610543,0.5130142650040526,0.0,0.008540758723566058,0.048904618444528945,0.115,0.80536366,0.80027926,0.5046329178699849,0.5023823785317085,0.99314475,34189,7327
s3_simulated_data_provider_withdrawal,baseline,loss,train,test,0.5049098771960647,0.4977602929756439,0.5118493229993918,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.29892817,-0.31255314,0.5052241016341043,0.5023823785317085,-0.006878972,34189,7327
s3_simulated_data_provider_withdrawal,fully_retrained,confidence,retain,forget,0.5055286398237526,0.4911209302356775,0.5188758530087103,0.0,0.00951032593641316,0.04650518605152196,0.18,0.8071988,0.8024176,0.5055137636375086,0.5063635271798924,0.9939306,32491,1698
s3_simulated_data_provider_withdrawal,fully_retrained,loss,retain,forget,0.505528041669526,0.49289839083462417,0.5179422110694857,0.0,0.009356437167215537,0.04650518605152196,0.195,-0.3001333,-0.3096706,0.5054171549780261,0.5063635271798924,-0.00608778,32491,1698
