seed,label,precision,recall,f1-score,support
42,0,0.8873649922852734,0.9285970577682096,0.9075129306566143,5574.0
42,1,0.7336010709504686,0.6252139189960069,0.6750846935632892,1753.0
42,accuracy,,,0.8560120103725946,
42,macro avg,0.810483031617871,0.7769054883821083,0.7912988121099518,7327.0
42,weighted avg,0.8505766540704633,0.8560120103725946,0.851903991169157,7327.0
43,0,0.8800536822680758,0.9411553641908863,0.9095795405288253,5574.0
43,1,0.7598828696925329,0.5921277809469481,0.6655979480602757,1753.0
43,accuracy,,,0.8576497884536646,
43,macro avg,0.8199682759803044,0.7666415725689172,0.7875887442945505,7327.0
43,weighted avg,0.8513025652427003,0.8576497884536646,0.8512064367213505,7327.0
44,0,0.8842051802945657,0.9370290635091496,0.9098510582701855,5574.0
44,1,0.7528169014084507,0.609811751283514,0.6738102741884652,1753.0
44,accuracy,,,0.8587416405077112,
44,macro avg,0.8185110408515082,0.7734204073963318,0.7918306662293253,7327.0
44,weighted avg,0.8527702611069912,0.8587416405077112,0.8533778093968055,7327.0
