metric,mean,std,mean_plus_minus_std
accuracy,0.8574678131113234,0.001373883705977085,0.8575 ± 0.0014
positive_class_precision,0.7487669473504841,0.013600912917275975,0.7488 ± 0.0136
positive_class_recall,0.609051150408823,0.01655617763912551,0.6091 ± 0.0166
f1_score,0.67149763860401,0.005148863716355538,0.6715 ± 0.0051
predictive_auroc,0.9099409640541035,0.00025168910640055285,0.9099 ± 0.0003
test_loss,0.31198420353741724,0.0005196079153442872,0.3120 ± 0.0005
