scenario,method,probability_mae_after_ci_lower,probability_mae_after_ci_upper,probability_mae_improvement_ci_lower,probability_mae_improvement_ci_upper,valid_repetitions
s1_recipient_withdrawal,retain_set_finetuning,0.0032369489141274243,0.00577069983119145,-0.0015019689570181071,-0.0002751731139142072,500
s2_living_donor_withdrawal,retain_set_finetuning,0.0032065486535429954,0.004543044453021138,-0.0006497886963188649,-0.0002978631586302072,500
s3_hospital_withdrawal,retain_set_finetuning,0.00438932899851352,0.005588246486149728,-9.686987614259123e-05,0.00022696146043017502,500
s4_invalid_consent,retain_set_finetuning,0.005036645196378231,0.006204754090867936,-0.0003865200211293995,2.3967516608536145e-05,500
s5_retention_expiry,retain_set_finetuning,0.00523672349518165,0.006217858579475433,-9.633544832468032e-05,0.00020554525544866917,500
