epoch,training_bce,retained_validation_bce
1,0.1816243367431158,0.09981254376967748
2,0.10231986285451063,0.09684879928165012
3,0.09924183469965941,0.09579398752583397
4,0.09753915331940305,0.09402055835723877
5,0.09657893375645306,0.09361386207077238
6,0.09559696355148366,0.09457900608910455
7,0.09491430836363245,0.09360321872764163
8,0.0944415868807556,0.09404764529069265
9,0.09435991523035786,0.09272141879796982
10,0.09343420397219503,0.0930972218381034
11,0.09328991870608246,0.09197578686475753
12,0.09264985280601602,0.09209767741627163
13,0.09242287164045157,0.09111276108688779
14,0.09223203072534468,0.09038383677932951
15,0.09229689741045012,0.09140325268771914
16,0.09203554959150782,0.09150217357609007
17,0.09193792539431636,0.09106815363301171
18,0.09182263035971419,0.090988780008422
19,0.091351524540655,0.09141372407807244
20,0.09135362350851073,0.09130500010649363
