epoch,training_bce,retained_validation_bce
1,0.18148628541086087,0.10291026174286265
2,0.10005924602901493,0.1003930820506296
3,0.09673722099059473,0.09812724188889986
4,0.0948202054998862,0.09716061524035018
5,0.09361010071934846,0.09676984398085393
6,0.09255951814787097,0.09547633698693028
7,0.09193383702840754,0.09625777543326955
8,0.09153025875331233,0.09602324853340785
9,0.0908994346825534,0.09579775199478055
10,0.09062273154163329,0.09582713691172777
11,0.09036557975900236,0.09559542614368745
12,0.09013619686560656,0.09495170556468728
13,0.08972893917055988,0.0955029480692781
14,0.0890938452146356,0.09486509022153454
15,0.08887594346981989,0.09455952047197907
16,0.08914850127444696,0.0943619081488362
17,0.08851977917863421,0.09436791514908825
18,0.08867882013656002,0.0954644865533452
19,0.08783594642918577,0.09484791211875869
20,0.08755699198160853,0.09555053617483304
21,0.08823617540970051,0.09526379608445697
22,0.08777671407139491,0.09557973542331177
