epoch,training_bce,retained_validation_bce
1,0.17619619600012532,0.09978991392585966
2,0.10041445812722019,0.09646861794922088
3,0.09759430167134878,0.09541477443112267
4,0.09588311560928621,0.09450913804107242
5,0.09440267661648223,0.09379370293352339
6,0.09352133587368296,0.09390741438335842
7,0.09350236252975211,0.09345847721894582
8,0.09271091556480264,0.0930014454126358
9,0.09258271484828844,0.09342241970698038
10,0.09235162845507673,0.09239591411749522
11,0.09165306203300246,0.09305846597088707
12,0.09117844441351035,0.09165258653958638
13,0.09107581459025227,0.09194955062203937
14,0.09073893147027509,0.09087892178694407
15,0.09070414831936216,0.09153386806779437
16,0.09011143913144043,0.09120057753059599
17,0.09015207358812014,0.09125451318422953
18,0.08963709300013906,0.09125350493192673
19,0.08987125881148852,0.09066762988434897
20,0.08929622064937245,0.09129883690012826
21,0.08925972221604674,0.09175579892926745
22,0.08913026357955689,0.0912718206776513
23,0.08906048742651997,0.09155686028798421
24,0.08912246529803132,0.09248289563920763
25,0.08889241053930208,0.09100979214244419
