epoch,training_bce,retained_validation_bce
1,0.18359301199988715,0.10092097166143818
2,0.10052575451671762,0.09716684566235836
3,0.09738815764428446,0.09508775305232883
4,0.09574183833386217,0.09542973126894162
5,0.09428660025356939,0.0942638021302812
6,0.09360412736418386,0.09375453878332067
7,0.09295790425723507,0.09355336040994268
8,0.09245375243128923,0.0938140422768063
9,0.09182351648255631,0.09362026222326138
10,0.09148274432099054,0.09375571052233378
11,0.09101460819364225,0.09280978656845328
12,0.09053384392901703,0.09247445857451286
13,0.09032663579024966,0.09346252434047651
14,0.09042056688634807,0.09191856252190507
15,0.09032189493535688,0.09254830931071882
16,0.08953328829436075,0.09215091265646028
17,0.08948205970109455,0.09223328130480683
18,0.08898462678389575,0.09234450187212155
19,0.08923551850217991,0.09251361671053333
20,0.08892085027797197,0.0926666584537353
