scenario,false_positive_rate,true_positive_rate,threshold
s1_random_1_percent,0.0,0.0,inf
s1_random_1_percent,0.0,0.022818026240730177,1.0
s1_random_1_percent,0.0,0.11237877923559612,0.9486562013626099
s1_random_1_percent,0.0001794043774668102,0.11237877923559612,0.9484149813652039
s1_random_1_percent,0.0001794043774668102,0.11294922989161438,0.9481053948402405
s1_random_1_percent,0.0003588087549336204,0.11294922989161438,0.9476395845413208
s1_random_1_percent,0.0003588087549336204,0.12606959498003423,0.9388638734817505
s1_random_1_percent,0.0003588087549336204,0.12721049629207073,0.9387931823730469
s1_random_1_percent,0.0003588087549336204,0.127780946948089,0.9384880661964417
s1_random_1_percent,0.0005382131324004305,0.127780946948089,0.9383330345153809
s1_random_1_percent,0.0005382131324004305,0.13063320022818026,0.9363616108894348
s1_random_1_percent,0.0007176175098672408,0.13063320022818026,0.936319887638092
s1_random_1_percent,0.0007176175098672408,0.15345122646891043,0.9161471724510193
s1_random_1_percent,0.000897021887334051,0.15345122646891043,0.9150712490081787
s1_random_1_percent,0.000897021887334051,0.15630347974900172,0.9142569899559021
s1_random_1_percent,0.001076426264800861,0.15630347974900172,0.9135674238204956
s1_random_1_percent,0.001076426264800861,0.15801483171705646,0.9125902652740479
s1_random_1_percent,0.0012558306422676714,0.15801483171705646,0.9092276692390442
s1_random_1_percent,0.0012558306422676714,0.16657159155733028,0.9014626145362854
s1_random_1_percent,0.0014352350197344816,0.16657159155733028,0.8999730944633484
s1_random_1_percent,0.0014352350197344816,0.16714204221334855,0.8997910618782043
s1_random_1_percent,0.0016146393972012918,0.16714204221334855,0.8994749784469604
s1_random_1_percent,0.0016146393972012918,0.16828294352538506,0.8981413841247559
s1_random_1_percent,0.002152852529601722,0.16828294352538506,0.896939218044281
s1_random_1_percent,0.002152852529601722,0.1728465487735311,0.894046425819397
s1_random_1_percent,0.0023322569070685323,0.1728465487735311,0.8936722874641418
s1_random_1_percent,0.0023322569070685323,0.1751283513976041,0.8917837142944336
s1_random_1_percent,0.002691065662002153,0.1751283513976041,0.8916632533073425
s1_random_1_percent,0.002691065662002153,0.1762692527096406,0.8909506797790527
s1_random_1_percent,0.0028704700394689632,0.1762692527096406,0.8907364010810852
s1_random_1_percent,0.0028704700394689632,0.1779806046776954,0.8896926641464233
s1_random_1_percent,0.0030498744169357734,0.1779806046776954,0.8887884020805359
s1_random_1_percent,0.0030498744169357734,0.1791215059897319,0.8880100250244141
s1_random_1_percent,0.0032292787944025836,0.1791215059897319,0.8878655433654785
s1_random_1_percent,0.0032292787944025836,0.19566457501426127,0.8688439726829529
s1_random_1_percent,0.0034086831718693937,0.19566457501426127,0.8666592240333557
s1_random_1_percent,0.0034086831718693937,0.19623502567027953,0.8662558794021606
s1_random_1_percent,0.003588087549336204,0.19623502567027953,0.864397406578064
s1_random_1_percent,0.003588087549336204,0.19794637763833428,0.8636411428451538
s1_random_1_percent,0.003767491926803014,0.19794637763833428,0.8630712628364563
s1_random_1_percent,0.003767491926803014,0.19851682829435255,0.8611204028129578
s1_random_1_percent,0.003946896304269824,0.19851682829435255,0.861110508441925
s1_random_1_percent,0.003946896304269824,0.2013690815744438,0.8570618629455566
s1_random_1_percent,0.0041263006817366344,0.2013690815744438,0.8570060133934021
s1_random_1_percent,0.0041263006817366344,0.20193953223046207,0.8547257781028748
s1_random_1_percent,0.004305705059203444,0.20193953223046207,0.8546849489212036
s1_random_1_percent,0.004305705059203444,0.2053622361665716,0.852196991443634
s1_random_1_percent,0.004485109436670255,0.2053622361665716,0.8521925210952759
s1_random_1_percent,0.004485109436670255,0.20593268682258983,0.8521849513053894
s1_random_1_percent,0.004843918191603875,0.20593268682258983,0.8516926765441895
s1_random_1_percent,0.004843918191603875,0.20878494010268112,0.8489431142807007
s1_random_1_percent,0.005023322569070686,0.20878494010268112,0.8486317992210388
s1_random_1_percent,0.005023322569070686,0.22190530519110097,0.8411926031112671
s1_random_1_percent,0.005023322569070686,0.22304620650313747,0.8410355448722839
s1_random_1_percent,0.005382131324004306,0.22304620650313747,0.8399730324745178
s1_random_1_percent,0.005382131324004306,0.22475755847119225,0.8394651412963867
s1_random_1_percent,0.0057409400789379264,0.22475755847119225,0.8389987945556641
s1_random_1_percent,0.0057409400789379264,0.2276098117512835,0.8377268314361572
s1_random_1_percent,0.005920344456404736,0.2276098117512835,0.8373548984527588
s1_random_1_percent,0.005920344456404736,0.22932116371933828,0.8369521498680115
s1_random_1_percent,0.006099748833871547,0.22932116371933828,0.8366856575012207
s1_random_1_percent,0.006099748833871547,0.23559612093553908,0.8316901922225952
s1_random_1_percent,0.0062791532113383565,0.23559612093553908,0.831238865852356
s1_random_1_percent,0.0062791532113383565,0.2367370222475756,0.8300752639770508
s1_random_1_percent,0.006458557588805167,0.2367370222475756,0.8298639059066772
s1_random_1_percent,0.006458557588805167,0.2378779235596121,0.8298036456108093
s1_random_1_percent,0.006458557588805167,0.2401597261836851,0.829281747341156
s1_random_1_percent,0.006458557588805167,0.24130062749572162,0.8292760252952576
s1_random_1_percent,0.006458557588805167,0.2418710781517399,0.8292441964149475
s1_random_1_percent,0.006637961966271977,0.2418710781517399,0.8289759159088135
s1_random_1_percent,0.006637961966271977,0.24700513405590416,0.8267280459403992
s1_random_1_percent,0.006996770721205597,0.24700513405590416,0.8258846402168274
s1_random_1_percent,0.006996770721205597,0.24871648602395893,0.8223872184753418
s1_random_1_percent,0.007176175098672408,0.24871648602395893,0.8221746683120728
s1_random_1_percent,0.007176175098672408,0.25613234455219624,0.8188401460647583
s1_random_1_percent,0.007355579476139218,0.25613234455219624,0.8185538053512573
s1_random_1_percent,0.007355579476139218,0.2567027952082145,0.8176231980323792
s1_random_1_percent,0.007714388231072838,0.2567027952082145,0.8158232569694519
s1_random_1_percent,0.007714388231072838,0.2589845978322875,0.8141428828239441
s1_random_1_percent,0.00843200574094008,0.2589845978322875,0.8130069375038147
s1_random_1_percent,0.00843200574094008,0.2652595550484883,0.8103574514389038
s1_random_1_percent,0.008611410118406888,0.2652595550484883,0.8103097081184387
s1_random_1_percent,0.008611410118406888,0.26640045636052484,0.8101927042007446
s1_random_1_percent,0.008790814495873699,0.26640045636052484,0.8100059628486633
s1_random_1_percent,0.008790814495873699,0.26982316029663433,0.8082687854766846
s1_random_1_percent,0.00897021887334051,0.26982316029663433,0.8080431818962097
s1_random_1_percent,0.00897021887334051,0.27210496292070735,0.8065719604492188
s1_random_1_percent,0.00950843200574094,0.27210496292070735,0.8057670593261719
s1_random_1_percent,0.00950843200574094,0.27438676554478036,0.8049107789993286
s1_random_1_percent,0.009867240760674561,0.27438676554478036,0.804802417755127
s1_random_1_percent,0.009867240760674561,0.2766685681688534,0.8043782114982605
s1_random_1_percent,0.01022604951560818,0.2766685681688534,0.804041862487793
s1_random_1_percent,0.01022604951560818,0.2778094694808899,0.8039347529411316
s1_random_1_percent,0.010405453893074991,0.2778094694808899,0.8034476637840271
s1_random_1_percent,0.010405453893074991,0.27837992013690815,0.8033866882324219
s1_random_1_percent,0.010584858270541802,0.27837992013690815,0.8024019598960876
s1_random_1_percent,0.010584858270541802,0.2789503707929264,0.8023974299430847
s1_random_1_percent,0.010764262648008612,0.2789503707929264,0.802293598651886
s1_random_1_percent,0.010764262648008612,0.2795208214489447,0.8022922277450562
s1_random_1_percent,0.010943667025475421,0.2795208214489447,0.8021718859672546
s1_random_1_percent,0.010943667025475421,0.28066172276098117,0.8018150925636292
s1_random_1_percent,0.011123071402942232,0.28066172276098117,0.8017440438270569
s1_random_1_percent,0.011123071402942232,0.2829435253850542,0.8006709814071655
s1_random_1_percent,0.011302475780409042,0.2829435253850542,0.7982425689697266
s1_random_1_percent,0.011302475780409042,0.2840844266970907,0.7977170944213867
s1_random_1_percent,0.011481880157875853,0.28465487735310896,0.797676146030426
s1_random_1_percent,0.011481880157875853,0.291500285225328,0.7958964109420776
s1_random_1_percent,0.011481880157875853,0.29264118653736454,0.7958817481994629
