epoch,forget_bce,retained_validation_bce
1,0.5236992131623086,0.5448040786893181
2,0.5252783899372457,0.5453088943050658
3,0.5270286092395755,0.5465647915103173
4,0.5303233304734942,0.5490517642644678
5,0.5332326509744417,0.5533945702145499
