epoch,forget_bce,retained_validation_bce
1,0.42977181428886324,0.542441234905642
2,0.4324520664042737,0.5424675670485487
3,0.4343090039419841,0.5424887487879523
4,0.43368192379733167,0.5425142649408016
5,0.4319219436990209,0.5425398161807359
