scenario,display_name,method,epoch,is_epoch_zero_control,is_selected_checkpoint,runtime_seconds,cumulative_optimizer_steps,forget_probability_mae_to_retraining,baseline_probability_mae_to_retraining,relative_probability_improvement,forget_probability_wasserstein_to_retraining,forget_probability_ks_statistic_to_retraining,forget_probability_ks_pvalue_to_retraining,probability_records_moved_closer_percentage,probability_records_unchanged_percentage,probability_records_moved_further_percentage,forget_loss_mae_to_retraining,baseline_loss_mae_to_retraining,relative_loss_improvement,forget_loss_wasserstein_to_retraining,forget_loss_ks_statistic_to_retraining,forget_loss_ks_pvalue_to_retraining,loss_records_moved_closer_percentage,loss_records_unchanged_percentage,loss_records_moved_further_percentage,forget_entropy_mae_to_retraining,baseline_entropy_mae_to_retraining,relative_entropy_improvement,forget_entropy_wasserstein_to_retraining,forget_entropy_ks_statistic_to_retraining,forget_entropy_ks_pvalue_to_retraining,entropy_records_moved_closer_percentage,entropy_records_unchanged_percentage,entropy_records_moved_further_percentage,forget_prediction_agreement_with_retraining,retain_accuracy,retain_f1,validation_accuracy,validation_f1,validation_auroc,test_accuracy,test_f1,test_auroc
s1_random_1_percent,Random 1%,NegGrad,0,True,False,0.0,0,0.01089129876345396,0.01089129876345396,0.0,0.0064315773685113126,0.03216374269005848,0.9945515306451277,0.0,100.0,0.0,0.02585407007391586,0.02585407007391586,0.0,0.015111543653278868,0.03508771929824561,0.9846787309559571,0.0,100.0,0.0,0.01791036028372088,0.01791036028372088,0.0,0.008702828305664306,0.03508771929824561,0.9846787309559571,0.0,100.0,0.0,0.9883040935672515,0.8599875912193105,0.6888582496224804,0.8610428610428611,0.6884944920440637,0.9165791917656938,0.8560120103725946,0.6750846935632892,0.9096566939119795
s1_random_1_percent,Random 1%,NegGrad,1,False,False,0.00889216607902199,2,0.011080977506935596,0.01089129876345396,-0.017415622103592376,0.00693946069798902,0.03216374269005848,0.9945515306451277,28.654970760233915,16.666666666666664,54.67836257309941,0.026121035618807423,0.02585407007391586,-0.010325861426395022,0.014784876572629585,0.03508771929824561,0.9846787309559571,28.654970760233915,16.374269005847953,54.97076023391813,0.018354728794914458,0.01791036028372088,-0.024810696387692177,0.008894715998097427,0.03508771929824561,0.9846787309559571,39.1812865497076,3.8011695906432745,57.01754385964912,0.9824561403508771,0.85975123349189,0.6893934436956095,0.8610428610428611,0.6892551892551892,0.9165651684856158,0.8551931213320595,0.6750382848392037,0.9096425708063947
s1_random_1_percent,Random 1%,NegGrad,2,False,False,0.017261916073039174,4,0.011399783194065094,0.01089129876345396,-0.04668721716801727,0.007438637894505368,0.03216374269005848,0.9945515306451277,33.04093567251462,9.941520467836257,57.01754385964912,0.026704329411940207,0.02585407007391586,-0.03288686599802215,0.014730952413211484,0.03508771929824561,0.9846787309559571,33.04093567251462,9.941520467836257,57.01754385964912,0.018968602470489773,0.01791036028372088,-0.05908547734412428,0.009186465733572197,0.03508771929824561,0.9846787309559571,39.473684210526315,2.046783625730994,58.47953216374269,0.97953216374269,0.8597807782078175,0.6901684292988641,0.8604968604968605,0.6889835666463786,0.916546231939525,0.8546471953050362,0.6746104491292392,0.9096204650759137
s1_random_1_percent,Random 1%,NegGrad,3,False,True,0.0251715830527246,6,0.011860844679176807,0.01089129876345396,-0.08902022952268873,0.008141476913470662,0.03216374269005848,0.9945515306451277,32.45614035087719,7.894736842105263,59.64912280701754,0.027659831219658607,0.02585407007391586,-0.06984436649936132,0.014730411379976086,0.03216374269005848,0.9945515306451277,32.748538011695906,7.602339181286549,59.64912280701754,0.01976590055558492,0.01791036028372088,-0.10360150451862116,0.00950088965260677,0.03216374269005848,0.9945515306451277,38.59649122807017,0.5847953216374269,60.81871345029239,0.97953216374269,0.8596625993441073,0.6907149368407345,0.8606333606333606,0.6901365705614567,0.9165255552783882,0.8541012692780128,0.6741846997866504,0.9095935493022265
s2_random_5_percent,Random 5%,NegGrad,0,True,False,0.0,0,0.013411344029009342,0.013411344029009342,0.0,0.0034619916666749065,0.011702750146284377,0.99980859946012,0.0,100.0,0.0,0.027194814919392286,0.027194814919392286,0.0,0.00862177314643709,0.015213575190169689,0.9890271430485175,0.0,100.0,0.0,0.021005455047101773,0.021005455047101773,0.0,0.0067801164619423,0.01579871269748391,0.983361434100525,0.0,100.0,0.0,0.9842012873025161,0.8595751231527093,0.6883498462589682,0.8610428610428611,0.6884944920440637,0.9165791917656938,0.8560120103725946,0.6750846935632892,0.9096566939119795
s2_random_5_percent,Random 5%,NegGrad,1,False,False,0.02805924997664988,7,0.013012338429689407,0.013411344029009342,0.029751350681696653,0.0033266116761251634,0.010532475131655939,0.9999821639060485,52.25277940315974,6.1439438267992985,41.60327677004096,0.026674288299034187,0.027194814919392286,0.019140656845835657,0.008041625031130914,0.014628437682855471,0.9931449126413876,52.25277940315974,6.1439438267992985,41.60327677004096,0.020339716358824395,0.021005455047101773,0.03169360943548016,0.0052083467100184876,0.014628437682855471,0.9931449126413876,53.01345816266823,0.994733762434172,45.9918080748976,0.9824458747805734,0.8596674876847291,0.6901427600271924,0.8615888615888616,0.6910420475319927,0.9165725383846349,0.854783676811792,0.6744186046511628,0.9096228189268445
s2_random_5_percent,Random 5%,NegGrad,2,False,False,0.05608599993865937,14,0.012892254628241062,0.013411344029009342,0.03870524830661759,0.005006466186920093,0.014043300175541252,0.9959808414277908,48.21533060269163,3.627852545348157,48.15681685196021,0.026757828168691756,0.027194814919392286,0.016068752517558793,0.00784894380207721,0.015213575190169689,0.9890271430485175,48.15681685196021,3.6863662960795787,48.15681685196021,0.020098189671743892,0.021005455047101773,0.04319189340690155,0.004143082987648771,0.013458162668227034,0.9978136597902586,48.80046811000585,0.6436512580456407,50.55588063194851,0.9818607372732592,0.8591748768472907,0.6913213659063301,0.8609063609063609,0.6920519794499849,0.9165512475652464,0.853964787771257,0.6755609460278957,0.9095642796776084
s2_random_5_percent,Random 5%,NegGrad,3,False,True,0.08394387492444366,21,0.013803054578602314,0.013411344029009342,-0.029207404473830856,0.008341245497808934,0.021650087770626096,0.8181590043046274,41.66179052077238,2.574605032182563,55.763604447045054,0.028786345080040788,0.027194814919392286,-0.05852329443557269,0.007846783453564715,0.01579871269748391,0.983361434100525,41.60327677004096,2.574605032182563,55.82211819777648,0.021420805793136006,0.021005455047101773,-0.019773470515295433,0.0045058959785646766,0.016383850204798128,0.9759150408783257,42.71503803393797,0.7021650087770626,56.58279695728496,0.9801053247513165,0.858743842364532,0.6931924568677277,0.8611793611793612,0.6945028537098228,0.9165287284293548,0.8534188617442336,0.6768953068592057,0.9095096293994753
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,0,True,False,0.0,0,0.013069559819996357,0.013069559819996357,0.0,0.009647652049207991,0.024734982332155476,0.6766816900537729,0.0,100.0,0.0,0.02908051366806977,0.02908051366806977,0.0,0.013180905071287203,0.02061248527679623,0.8636360614258392,0.0,100.0,0.0,0.023211722043069996,0.023211722043069996,0.0,0.009780565498617975,0.021790341578327443,0.8151146043300879,0.0,100.0,0.0,0.9852767962308598,0.8602074420608784,0.6890744797371303,0.8610428610428611,0.6884944920440637,0.9165791917656938,0.8560120103725946,0.6750846935632892,0.9096566939119795
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,1,False,False,0.02915308391675353,7,0.015204332768917084,0.013069559819996357,-0.16333931504368926,0.01299606999070827,0.027090694935217905,0.5616868639648417,15.783274440518259,5.30035335689046,78.91637220259128,0.033300153282441125,0.02908051366806977,-0.14510196286541177,0.013976725436817416,0.025323910482921083,0.6477500308819374,15.783274440518259,5.30035335689046,78.91637220259128,0.027187402818325768,0.023211722043069996,-0.1712790101431847,0.012360445959544497,0.025323910482921083,0.6477500308819374,18.138987043580684,0.8244994110718492,81.03651354534746,0.9846878680800942,0.8598381090148041,0.6909609120521173,0.8609063609063609,0.6911185207638678,0.9165421887310354,0.8541012692780128,0.6741846997866504,0.9096221025374309
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,2,False,False,0.05562591692432761,14,0.016370344907045364,0.013069559819996357,-0.2525551841462039,0.014553978128050048,0.03121319199057715,0.37986825075215946,14.546525323910483,3.121319199057715,82.3321554770318,0.035487582942129135,0.02908051366806977,-0.220321736651244,0.01499374616323156,0.030624263839811542,0.40352152628257737,14.546525323910483,3.121319199057715,82.3321554770318,0.029895756790258875,0.023211722043069996,-0.2879594514696697,0.014860414717594403,0.030624263839811542,0.40352152628257737,16.13663133097762,0.7067137809187279,83.15665488810366,0.9840989399293286,0.859591886984088,0.6911724884917412,0.8609063609063609,0.6920519794499849,0.9165190042570379,0.8542377507847687,0.6753799392097265,0.9095945727156747
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,3,False,True,0.08355404192116112,21,0.018623560667037964,0.013069559819996357,-0.42495699346691196,0.017395763240529855,0.037102473498233215,0.1930024714382334,12.426383981154299,2.1201413427561837,85.45347467608951,0.03980119975834767,0.02908051366806977,-0.3686553206262362,0.016359948201450165,0.035924617196702,0.2232484080240971,12.426383981154299,2.1201413427561837,85.45347467608951,0.03432277144698733,0.023211722043069996,-0.4786826838310605,0.01794462629341828,0.03651354534746761,0.20770288580762067,13.604240282685511,0.35335689045936397,86.04240282685512,0.9823321554770318,0.8591609984303346,0.6918103448275862,0.8614523614523615,0.6945531146554318,0.9164812335245651,0.853964787771257,0.6765417170495768,0.9095539943724541
s4_random_10_percent,Random 10%,NegGrad,0,True,False,0.0,0,0.014625221490859985,0.014625221490859985,0.0,0.0037103042679427463,0.011699327288680901,0.9734483267100046,0.0,100.0,0.0,0.031679646310919095,0.031679646310919095,0.0,0.014657680870315404,0.011991810470897923,0.9665989406325223,0.0,100.0,0.0,0.024447014995424815,0.024447014995424815,0.0,0.007373177668103593,0.01842644047967242,0.6073113248397389,0.0,100.0,0.0,0.9850833577069319,0.8593435164120897,0.6887226697353279,0.8610428610428611,0.6884944920440637,0.9165791917656938,0.8560120103725946,0.6750846935632892,0.9096566939119795
s4_random_10_percent,Random 10%,NegGrad,1,False,False,0.050229083048179746,14,0.014542381279170513,0.014625221490859985,0.005664202196270507,0.00530008630329533,0.014039192746417082,0.8891117045645396,47.762503656039776,3.977771278151506,48.259725065808716,0.03166463611123205,0.031679646310919095,0.0004738120981443439,0.016013069274138807,0.014916642293068149,0.8414401529881521,47.79175197426148,3.9485229599298037,48.259725065808716,0.024317419721820513,0.024447014995424815,0.005301067374833157,0.01025130855206164,0.02193623866627669,0.38321360094451934,49.2541678853466,0.49722140976893825,50.24861070488447,0.9844983913424978,0.8592460188495288,0.6904881011934538,0.8610428610428611,0.690389294403893,0.9165853333482098,0.854783676811792,0.6754118364856619,0.9096785949597707
s4_random_10_percent,Random 10%,NegGrad,2,False,False,0.10210995806846768,28,0.014682798646390438,0.014625221490859985,-0.003936839901292233,0.006568837314788127,0.01842644047967242,0.6073113248397389,43.98947060544019,2.8370868675051186,53.17344252705469,0.03198116855118147,0.031679646310919095,-0.009517853744422933,0.01705681604397602,0.01842644047967242,0.6073113248397389,44.04796724188359,2.778590231061714,53.17344252705469,0.024857727888351586,0.024447014995424815,-0.016800124391613158,0.012820891145270493,0.024861070488446914,0.24129986044505666,45.188651652529984,0.5264697279906405,54.28487861947938,0.9850833577069319,0.8587910302242444,0.6905491061890179,0.8606333606333606,0.6903245374582955,0.9165560584715504,0.854783676811792,0.675609756097561,0.9096997796181481
s4_random_10_percent,Random 10%,NegGrad,3,False,True,0.15383245807606727,42,0.015523858368396759,0.014625221490859985,-0.06144432602941263,0.008942125487894834,0.02544603685288096,0.21830201857996612,37.93506873354782,2.2521205030710734,59.81281076338111,0.033712005768743655,0.031679646310919095,-0.06415347690053164,0.01920724749705288,0.024861070488446914,0.24129986044505666,37.99356536999123,2.1643755484059666,59.842059081602805,0.02711427148522221,0.024447014995424815,-0.10910356500769369,0.01712042616143092,0.029833284586136297,0.09537277452225243,38.9587598713074,0.46797309154723604,60.573267037145364,0.9839134249780638,0.8586285342866429,0.6915768576290414,0.8611793611793612,0.692842041679251,0.9165001700706559,0.8545107137982804,0.6765776699029126,0.9096948672335968
s5_retention_expiry,Simulated Retention Expiry,NegGrad,0,True,False,0.0,0,0.03611636161804199,0.03611636161804199,0.0,0.02334934493897685,0.037779767233661596,0.0006894840626038672,0.0,100.0,0.0,0.08087677664389227,0.08087677664389227,0.0,0.038242723672500645,0.035452103849597134,0.0017870094515671819,0.0,100.0,0.0,0.05100271029591684,0.05100271029591684,0.0,0.02489003640026413,0.038137869292748434,0.0005923211267438923,0.0,100.0,0.0,0.9457475380483438,0.8668018458956789,0.683081018133422,0.8610428610428611,0.6884944920440637,0.9165791917656938,0.8560120103725946,0.6750846935632892,0.9096566939119795
s5_retention_expiry,Simulated Retention Expiry,NegGrad,1,False,False,0.07981266698334366,22,0.037598613649606705,0.03611636161804199,-0.04104101202775223,0.0274773506102428,0.04297224709042077,6.622553205241193e-05,24.22560429722471,1.736794986571173,74.03760071620412,0.08385358752065752,0.08087677664389227,-0.03680674478252777,0.03840268591673882,0.038675022381378696,0.0004703690064786559,24.24350940017905,1.6830796777081467,74.0734109221128,0.05368656402398542,0.05100271029591684,-0.052621786420700145,0.02669894469624097,0.04118173679498657,0.00015370387084691703,26.463742166517456,0.3939122649955237,73.14234556848702,0.944136078782453,0.8665571248776395,0.6858177627788296,0.8600873600873601,0.6894880339291124,0.9164719187910826,0.8545107137982804,0.6755934266585514,0.9095630515814705
s5_retention_expiry,Simulated Retention Expiry,NegGrad,2,False,False,0.15634749992750585,44,0.045930732041597366,0.03611636161804199,-0.2717430545011652,0.04051553403058876,0.06051924798567592,2.586321920686859e-09,16.329453894359894,0.8773500447627574,82.79319606087735,0.10014350651711888,0.08087677664389227,-0.23822326596990573,0.04014123996426225,0.046016114592658905,1.4576329432007495e-05,16.329453894359894,0.8594449418084155,82.8111011638317,0.06699203309237939,0.05100271029591684,-0.31349947294355096,0.033122906802521626,0.049059982094897044,2.8922359081611656e-06,18.74664279319606,0.3401969561324978,80.91316025067144,0.9333930170098478,0.8658579219689554,0.6927696372808071,0.8614523614523615,0.6999704404374816,0.9162629514459795,0.8532823802374778,0.6805349182763745,0.9093783254540733
s5_retention_expiry,Simulated Retention Expiry,NegGrad,3,False,True,0.23419558291789144,66,0.060148391872644424,0.03611636161804199,-0.6654056271990916,0.05768170042758475,0.0829006266786034,4.110175015904265e-17,10.599820948970457,0.5192479856759177,88.88093106535364,0.12773725057865778,0.08087677664389227,-0.5794058057122677,0.039092689153909774,0.053536257833482544,2.2203869316592813e-07,10.564010743061774,0.5192479856759177,88.91674127126231,0.08843704102277429,0.05100271029591684,-0.7339674795645978,0.03962343608262239,0.05729632945389436,2.1610658159169946e-08,13.428827215756492,0.32229185317815573,86.24888093106536,0.9136974037600716,0.8636204726611663,0.6989736862412224,0.85995085995086,0.7063537492844877,0.9159378058316169,0.8505527501023611,0.6890088043169554,0.9090491956891369
