scenario,display_name,method,epoch,is_epoch_zero_control,is_selected_checkpoint,forget_entropy_mae_to_retraining,baseline_entropy_mae_to_retraining,relative_entropy_improvement,forget_entropy_wasserstein_to_retraining,entropy_records_moved_closer_percentage,entropy_records_unchanged_percentage,entropy_records_moved_further_percentage
s1_random_1_percent,Random 1%,NegGrad,0,True,False,0.01791036028372088,0.01791036028372088,0.0,0.008702828305664306,0.0,100.0,0.0
s1_random_1_percent,Random 1%,NegGrad,1,False,False,0.018354728794914458,0.01791036028372088,-0.024810696387692177,0.008894715998097427,39.1812865497076,3.8011695906432745,57.01754385964912
s1_random_1_percent,Random 1%,NegGrad,2,False,False,0.018968602470489773,0.01791036028372088,-0.05908547734412428,0.009186465733572197,39.473684210526315,2.046783625730994,58.47953216374269
s1_random_1_percent,Random 1%,NegGrad,3,False,True,0.01976590055558492,0.01791036028372088,-0.10360150451862116,0.00950088965260677,38.59649122807017,0.5847953216374269,60.81871345029239
s2_random_5_percent,Random 5%,NegGrad,0,True,False,0.021005455047101773,0.021005455047101773,0.0,0.0067801164619423,0.0,100.0,0.0
s2_random_5_percent,Random 5%,NegGrad,1,False,False,0.020339716358824395,0.021005455047101773,0.03169360943548016,0.0052083467100184876,53.01345816266823,0.994733762434172,45.9918080748976
s2_random_5_percent,Random 5%,NegGrad,2,False,False,0.020098189671743892,0.021005455047101773,0.04319189340690155,0.004143082987648771,48.80046811000585,0.6436512580456407,50.55588063194851
s2_random_5_percent,Random 5%,NegGrad,3,False,True,0.021420805793136006,0.021005455047101773,-0.019773470515295433,0.0045058959785646766,42.71503803393797,0.7021650087770626,56.58279695728496
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,0,True,False,0.023211722043069996,0.023211722043069996,0.0,0.009780565498617975,0.0,100.0,0.0
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,1,False,False,0.027187402818325768,0.023211722043069996,-0.1712790101431847,0.012360445959544497,18.138987043580684,0.8244994110718492,81.03651354534746
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,2,False,False,0.029895756790258875,0.023211722043069996,-0.2879594514696697,0.014860414717594403,16.13663133097762,0.7067137809187279,83.15665488810366
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,3,False,True,0.03432277144698733,0.023211722043069996,-0.4786826838310605,0.01794462629341828,13.604240282685511,0.35335689045936397,86.04240282685512
s4_random_10_percent,Random 10%,NegGrad,0,True,False,0.024447014995424815,0.024447014995424815,0.0,0.007373177668103593,0.0,100.0,0.0
s4_random_10_percent,Random 10%,NegGrad,1,False,False,0.024317419721820513,0.024447014995424815,0.005301067374833157,0.01025130855206164,49.2541678853466,0.49722140976893825,50.24861070488447
s4_random_10_percent,Random 10%,NegGrad,2,False,False,0.024857727888351586,0.024447014995424815,-0.016800124391613158,0.012820891145270493,45.188651652529984,0.5264697279906405,54.28487861947938
s4_random_10_percent,Random 10%,NegGrad,3,False,True,0.02711427148522221,0.024447014995424815,-0.10910356500769369,0.01712042616143092,38.9587598713074,0.46797309154723604,60.573267037145364
s5_retention_expiry,Simulated Retention Expiry,NegGrad,0,True,False,0.05100271029591684,0.05100271029591684,0.0,0.02489003640026413,0.0,100.0,0.0
s5_retention_expiry,Simulated Retention Expiry,NegGrad,1,False,False,0.05368656402398542,0.05100271029591684,-0.052621786420700145,0.02669894469624097,26.463742166517456,0.3939122649955237,73.14234556848702
s5_retention_expiry,Simulated Retention Expiry,NegGrad,2,False,False,0.06699203309237939,0.05100271029591684,-0.31349947294355096,0.033122906802521626,18.74664279319606,0.3401969561324978,80.91316025067144
s5_retention_expiry,Simulated Retention Expiry,NegGrad,3,False,True,0.08843704102277429,0.05100271029591684,-0.7339674795645978,0.03962343608262239,13.428827215756492,0.32229185317815573,86.24888093106536
