scenario,display_name,accuracy,precision,recall,f1_score,balanced_accuracy,roc_auc,baseline_accuracy,baseline_f1_score,baseline_roc_auc,accuracy_vs_baseline,f1_score_vs_baseline,roc_auc_vs_baseline
s1_random_1_percent,Random 1%,0.8541012692780128,0.7238219895287958,0.6309184255561894,0.6741846997866504,0.7776048891325977,0.9095935493022265,0.8560120103725946,0.6750846935632892,0.9096566939119796,-0.0019107410945817804,-0.0008999937766387411,-6.314460975309633e-05
s2_random_5_percent,Random 5%,0.8534188617442336,0.7161043921069382,0.6417569880205363,0.6768953068592057,0.7808713178351694,0.9095096293994753,0.8560120103725946,0.6750846935632892,0.9096566939119796,-0.0025931486283609084,0.0018106132959165855,-0.0001470645125042358
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),0.853964787771257,0.7196141479099678,0.6383342840844267,0.6765417170495768,0.7800569877544488,0.9095539943724541,0.8560120103725946,0.6750846935632892,0.9096566939119796,-0.002047222601337606,0.001457023486287623,-0.00010269953952546373
s4_random_10_percent,Random 10%,0.8545107137982804,0.7226182760855476,0.6360524814603536,0.6765776699029126,0.7796337039522794,0.9096948672335968,0.8560120103725946,0.6750846935632892,0.9096566939119796,-0.0015012965743141926,0.0014929763396234197,3.8173321617263056e-05
s5_retention_expiry,Simulated Retention Expiry,0.8505527501023611,0.6860859728506787,0.6919566457501426,0.6890088043169554,0.7961936081280314,0.9090491956891369,0.8560120103725946,0.6750846935632892,0.9096566939119796,-0.005459260270233468,0.013924110753666286,-0.0006074982228426729
