scenario,method,forget_size,forget_percentage,forget_ks_statistic,forget_ks_pvalue,forget_wasserstein,forget_mean_loss_gap,forget_probability_mad,forget_agreement_retrain,original_retrain_forget_ks,original_retrain_forget_wasserstein,mia_auroc,mia_attack_advantage,mia_auc_ci_low,mia_auc_ci_high,mia_positive_control_auc,mia_positive_control_valid,mia_interpretation
s1_random_1_percent,gradient_ascent,342,0.010003217409108194,0.03216374269005848,0.9945515306451277,0.014730403466662136,0.007820725,0.011860845,0.97953216374269,0.03508771929824561,0.01511153897232438,0.49320303683184563,0.013593926336308737,0.45449101860401486,0.53394965544954,0.4909159501209174,False,inconclusive
s2_random_5_percent,gradient_ascent,1709,0.04998683787183012,0.01579871269748391,0.983361434100525,0.00784677923523489,0.005644053,0.013803055,0.9801053247513165,0.015213575190169689,0.00862177540444608,0.5057544798627444,0.01150895972548871,0.4888248280110016,0.5244333042533574,0.4909159501209174,False,inconclusive
s3_simulated_data_provider_withdrawal,gradient_ascent,1698,0.04966509696101085,0.035924617196702,0.2232484080240971,0.01635994467218858,0.0063996315,0.01862356,0.9823321554770318,0.02061248527679623,0.013180901643351724,0.49674684829793525,0.006506303404129499,0.4777482663384207,0.5155820139677941,0.4909159501209174,False,inconclusive
s4_random_10_percent,gradient_ascent,3419,0.10000292491737109,0.024861070488446914,0.24129986044505666,0.019207833166339228,0.008638263,0.015523858,0.9839134249780638,0.011991810470897923,0.014658233475046528,0.5009331402607848,0.0018662805215696743,0.4873296450140429,0.5128468404416556,0.4909159501209174,False,inconclusive
s5_retention_expiry,gradient_ascent,5585,0.1633566351750563,0.053536257833482544,2.2203869316592813e-07,0.03909300220709199,0.016359657,0.060148392,0.9136974037600716,0.035452103849597134,0.038242830491571414,0.6001947440427864,0.20038948808557278,0.5902547269391653,0.6104595331849524,0.4909159501209174,False,inconclusive
