scenario,display_name,method,learning_rate,retain_weight,epoch,forget_train_loss,retain_train_loss,objective,forget_loss,forget_loss_change,validation_loss,validation_accuracy,validation_f1,validation_balanced_accuracy,validation_auroc,selection_valid,validation_safety_score,cumulative_optimizer_steps,runtime_seconds,scenario_seed,candidate_method,candidate_learning_rate,candidate_retain_weight
s1_random_1_percent,Random 1%,NegGrad,1e-05,0.0,1,0.3093267063996945,0.0,-0.3093267063996945,0.30471851829199764,6.0626027876875543e-05,0.3010444258882021,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165768374923959,True,-0.0,2,0.016746083041653037,942,NegGrad,1e-05,0.0
s1_random_1_percent,Random 1%,NegGrad,1e-05,0.0,2,0.30859356369191443,0.0,-0.30859356369191443,0.3047752283644258,0.00011733610030500996,0.3010485778325508,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.916572231305509,True,-0.0,4,0.024701999966055155,942,NegGrad,1e-05,0.0
s1_random_1_percent,Random 1%,NegGrad,1e-05,0.0,3,0.30496896341530205,0.0,-0.30496896341530205,0.3048305335449196,0.00017264128079885754,0.30105240512440967,0.8610428610428611,0.6886850152905198,0.7860838700649954,0.9165711053487146,True,-0.0,6,0.033093416946940124,942,NegGrad,1e-05,0.0
s1_random_1_percent,Random 1%,NegGrad,5e-05,0.0,1,0.3117459127080371,0.0,-0.3117459127080371,0.3049728256917139,0.0003149334275931448,0.3010638995132191,0.8611793611793612,0.6890859064506267,0.7863690953930045,0.9165679321977479,True,-0.0,2,0.008993708994239569,942,NegGrad,5e-05,0.0
s1_random_1_percent,Random 1%,NegGrad,5e-05,0.0,2,0.30959167135389226,0.0,-0.30959167135389226,0.3052673769450327,0.0006094846809119314,0.3010889009035841,0.8610428610428611,0.6892551892551892,0.7866703911952635,0.916564349607947,True,-0.0,4,0.017124874982982874,942,NegGrad,5e-05,0.0
s1_random_1_percent,Random 1%,NegGrad,5e-05,0.0,3,0.30585034235179076,0.0,-0.30585034235179076,0.30555625878579434,0.000898366521673577,0.30111397347618185,0.8607698607698607,0.6888346552776083,0.7864909546260908,0.9165611764569804,True,-0.0,6,0.025124541949480772,942,NegGrad,5e-05,0.0
s1_random_1_percent,Random 1%,NegGrad,0.0001,0.0,1,0.3043320670462491,0.0,-0.3043320670462491,0.3052875230535429,0.0006296307894221309,0.3010959477249534,0.8610428610428611,0.6892551892551892,0.7866703911952635,0.9165651684856158,True,-0.0,2,0.00889216607902199,942,NegGrad,0.0001,0.0
s1_random_1_percent,Random 1%,NegGrad,0.0001,0.0,2,0.30964618973564684,0.0,-0.30964618973564684,0.3058609862250891,0.0012030939609683489,0.3011520228976927,0.8604968604968605,0.6889835666463786,0.7868980391871861,0.916546231939525,True,-0.0,4,0.017261916073039174,942,NegGrad,0.0001,0.0
s1_random_1_percent,Random 1%,NegGrad,0.0001,0.0,3,0.2963209110393859,0.0,-0.2963209110393859,0.30644099867483326,0.0017831064107124983,0.3012173304442594,0.8606333606333606,0.6901365705614567,0.7879652926888862,0.9165255552783882,True,-0.0,6,0.0251715830527246,942,NegGrad,0.0001,0.0
s1_random_1_percent,Random 1%,NegGrad+,1e-05,0.1,1,0.3108627172241434,0.2905599213483041,-0.28180672359048275,0.30471975308412697,6.186082000619875e-05,0.30104584756393493,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.916574790298224,True,-0.0,2,0.01297825004439801,942,NegGrad+,1e-05,0.1
