scenario,display_name_gradient_ascent,accuracy_gradient_ascent,precision_gradient_ascent,recall_gradient_ascent,f1_score_gradient_ascent,balanced_accuracy,roc_auc_gradient_ascent,display_name_retrained,forget_count,forget_percentage,retain_count,accuracy_retrained,accuracy_difference_from_baseline,positive_class_precision,positive_class_recall,f1_score_retrained,f1_difference_from_baseline,roc_auc_retrained,roc_auc_difference_from_baseline,actual_epochs_run,runtime_seconds,precision_retrained,recall_retrained,accuracy_difference,precision_difference,recall_difference,f1_score_difference,roc_auc_difference
s1_random_1_percent,Random 1%,0.8541012692780128,0.7238219895287958,0.6309184255561894,0.6741846997866504,0.7776048891325977,0.9095935493022265,Random 1%,342,1.0003217409108194,33847,0.8577862699604204,0.0017742595878258,0.742001361470388,0.6217912150598973,0.6765983860955928,0.0015136925323036,0.9098553384622724,0.0001986445502927,12,6.158162959036417,0.742001361470388,0.6217912150598973,-0.0036850006824076242,-0.018179371941592137,0.00912721049629206,-0.002413686308942342,-0.0002617891600459332
s2_random_5_percent,Random 5%,0.8534188617442336,0.7161043921069382,0.6417569880205363,0.6768953068592057,0.7808713178351694,0.9095096293994753,Random 5%,1709,4.998683787183012,32480,0.856421454892862,0.0004094445202674,0.7347622237106497,0.6257843696520251,0.6759088108441158,0.0008241172808266,0.9093594946466268,-0.0002971992653528,15,6.309742750017904,0.7347622237106497,0.6257843696520251,-0.0030025931486283852,-0.018657831603711483,0.01597261836851116,0.0009864960150899327,0.00015013475284852973
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),0.853964787771257,0.7196141479099678,0.6383342840844267,0.6765417170495768,0.7800569877544488,0.9095539943724541,Simulated Data Provider Withdrawal (~5%),1698,4.9665096961010855,32491,0.8560120103725946,0.0,0.7450842696629213,0.6052481460353679,0.6679257160843564,-0.0071589774789327,0.910143019982557,0.0004863260705774,11,4.582675707992166,0.7450842696629213,0.6052481460353679,-0.002047222601337606,-0.02547012175295349,0.0330861380490588,0.008616000965220416,-0.0005890256101028779
s4_random_10_percent,Random 10%,0.8545107137982804,0.7226182760855476,0.6360524814603536,0.6765776699029126,0.7796337039522794,0.9096948672335968,Random 10%,3419,10.00029249173711,30770,0.8554660843455711,-0.0005459260270234,0.7322623828647925,0.6240730176839704,0.6738527871881737,-0.0012319063751154,0.9094378881167576,-0.000218805795222,13,5.082447624998167,0.7322623828647925,0.6240730176839704,-0.0009553705472907792,-0.009644106779244876,0.011979463776383259,0.0027248827147389187,0.0002569791168391955
s5_retention_expiry,Simulated Retention Expiry,0.8505527501023611,0.6860859728506787,0.6919566457501426,0.6890088043169554,0.7961936081280314,0.9090491956891369,Simulated Retention Expiry,5585,16.33566351750563,28604,0.8562849733861062,0.0002729630135116,0.7475247524752475,0.602966343411295,0.6675086832964952,-0.0075760102667939,0.9084364780577086,-0.001220215854271,14,5.083568624977488,0.7475247524752475,0.602966343411295,-0.005732223283745119,-0.061438779624568784,0.08899030233884764,0.021500121020460283,0.0006127176314283389
