scenario,seed,false_positive_rate,true_positive_rate,threshold
s1_random_1_percent,42,0.0,0.0,inf
s1_random_1_percent,42,0.0,0.022818026240730177,1.0
s1_random_1_percent,42,0.0,0.11237877923559612,0.9456930160522461
s1_random_1_percent,42,0.0001794043774668102,0.11237877923559612,0.94552081823349
s1_random_1_percent,42,0.0001794043774668102,0.12321734169994296,0.9365044236183167
s1_random_1_percent,42,0.0001794043774668102,0.12435824301197947,0.9364233613014221
s1_random_1_percent,42,0.0001794043774668102,0.12721049629207073,0.9339170455932617
s1_random_1_percent,42,0.0003588087549336204,0.12721049629207073,0.9337615966796875
s1_random_1_percent,42,0.0003588087549336204,0.13861950941243584,0.9244710803031921
s1_random_1_percent,42,0.0005382131324004305,0.13861950941243584,0.9244089126586914
s1_random_1_percent,42,0.0005382131324004305,0.14546491728465488,0.9176927208900452
s1_random_1_percent,42,0.0007176175098672408,0.14546491728465488,0.9173204898834229
s1_random_1_percent,42,0.0007176175098672408,0.1528807758128922,0.9096236824989319
s1_random_1_percent,42,0.000897021887334051,0.1528807758128922,0.9094473719596863
s1_random_1_percent,42,0.000897021887334051,0.15345122646891043,0.909317135810852
s1_random_1_percent,42,0.001076426264800861,0.15345122646891043,0.9091131687164307
s1_random_1_percent,42,0.001076426264800861,0.15915573302909297,0.9013510346412659
s1_random_1_percent,42,0.0012558306422676714,0.15915573302909297,0.9010329842567444
s1_random_1_percent,42,0.0012558306422676714,0.16257843696520252,0.8962118029594421
s1_random_1_percent,42,0.0014352350197344816,0.16257843696520252,0.8956677913665771
s1_random_1_percent,42,0.0014352350197344816,0.16543069024529378,0.8936735391616821
s1_random_1_percent,42,0.0016146393972012918,0.16543069024529378,0.8925942778587341
s1_random_1_percent,42,0.0016146393972012918,0.16600114090131204,0.8924028277397156
s1_random_1_percent,42,0.001794043774668102,0.16600114090131204,0.892234742641449
s1_random_1_percent,42,0.001794043774668102,0.1677124928693668,0.8893870711326599
s1_random_1_percent,42,0.002152852529601722,0.1677124928693668,0.8891069889068604
s1_random_1_percent,42,0.002152852529601722,0.16828294352538506,0.8890519738197327
s1_random_1_percent,42,0.0023322569070685323,0.16828294352538506,0.8887068629264832
s1_random_1_percent,42,0.0023322569070685323,0.17170564746149458,0.8858685493469238
s1_random_1_percent,42,0.002511661284535343,0.17170564746149458,0.8856300115585327
s1_random_1_percent,42,0.002511661284535343,0.17569880205362237,0.8821129202842712
s1_random_1_percent,42,0.002691065662002153,0.17569880205362237,0.8820466995239258
s1_random_1_percent,42,0.002691065662002153,0.18311466058185966,0.8749914765357971
s1_random_1_percent,42,0.0028704700394689632,0.18311466058185966,0.874152421951294
s1_random_1_percent,42,0.0028704700394689632,0.1865373645179692,0.8701751828193665
s1_random_1_percent,42,0.0030498744169357734,0.1865373645179692,0.8700914978981018
s1_random_1_percent,42,0.0030498744169357734,0.18824871648602395,0.8685569167137146
s1_random_1_percent,42,0.0032292787944025836,0.18824871648602395,0.8685483932495117
s1_random_1_percent,42,0.0032292787944025836,0.18996006845407873,0.8670502305030823
s1_random_1_percent,42,0.0034086831718693937,0.18996006845407873,0.8661611676216125
s1_random_1_percent,42,0.0034086831718693937,0.19053051911009697,0.8660805225372314
s1_random_1_percent,42,0.003588087549336204,0.19053051911009697,0.8655452728271484
s1_random_1_percent,42,0.003588087549336204,0.19566457501426127,0.859974205493927
s1_random_1_percent,42,0.003767491926803014,0.19566457501426127,0.8596326112747192
s1_random_1_percent,42,0.003767491926803014,0.19737592698231604,0.8582171201705933
s1_random_1_percent,42,0.003946896304269824,0.19737592698231604,0.8578808903694153
s1_random_1_percent,42,0.003946896304269824,0.1990872789503708,0.856183648109436
s1_random_1_percent,42,0.0041263006817366344,0.1990872789503708,0.8554496169090271
s1_random_1_percent,42,0.0041263006817366344,0.20365088419851682,0.8504191040992737
s1_random_1_percent,42,0.004305705059203444,0.20365088419851682,0.8488919734954834
s1_random_1_percent,42,0.004305705059203444,0.2127780946948089,0.8430038094520569
s1_random_1_percent,42,0.0046645138141370645,0.2127780946948089,0.8427053093910217
s1_random_1_percent,42,0.0046645138141370645,0.21791215059897318,0.8385659456253052
s1_random_1_percent,42,0.004843918191603875,0.21791215059897318,0.837703287601471
s1_random_1_percent,42,0.004843918191603875,0.22190530519110097,0.8363361358642578
s1_random_1_percent,42,0.005023322569070686,0.22190530519110097,0.8362103700637817
s1_random_1_percent,42,0.005023322569070686,0.22247575584711923,0.8357232213020325
s1_random_1_percent,42,0.005023322569070686,0.22361665715915574,0.8355279564857483
s1_random_1_percent,42,0.0052027269465374955,0.22361665715915574,0.8350136280059814
s1_random_1_percent,42,0.0052027269465374955,0.22475755847119225,0.8346449136734009
s1_random_1_percent,42,0.005382131324004306,0.22475755847119225,0.8335290551185608
s1_random_1_percent,42,0.005382131324004306,0.22589845978322876,0.8332148790359497
s1_random_1_percent,42,0.005561535701471116,0.22589845978322876,0.8330968618392944
s1_random_1_percent,42,0.005561535701471116,0.2338847689674843,0.8293942809104919
s1_random_1_percent,42,0.0057409400789379264,0.2338847689674843,0.8291833996772766
s1_random_1_percent,42,0.0057409400789379264,0.23730747290359383,0.8276355266571045
s1_random_1_percent,42,0.005920344456404736,0.23730747290359383,0.8266306519508362
s1_random_1_percent,42,0.005920344456404736,0.23844837421563034,0.825441300868988
s1_random_1_percent,42,0.006099748833871547,0.23844837421563034,0.8242658376693726
s1_random_1_percent,42,0.006099748833871547,0.24130062749572162,0.822960615158081
s1_random_1_percent,42,0.0062791532113383565,0.24130062749572162,0.8228922486305237
s1_random_1_percent,42,0.0062791532113383565,0.24586423274386765,0.8195071816444397
s1_random_1_percent,42,0.006458557588805167,0.24586423274386765,0.8193855881690979
s1_random_1_percent,42,0.006458557588805167,0.24700513405590416,0.8184059858322144
s1_random_1_percent,42,0.0068173663437387875,0.24700513405590416,0.8178572654724121
s1_random_1_percent,42,0.0068173663437387875,0.24814603536794066,0.817594051361084
s1_random_1_percent,42,0.0068173663437387875,0.2504278379920137,0.8162633776664734
s1_random_1_percent,42,0.006996770721205597,0.2504278379920137,0.8162367343902588
s1_random_1_percent,42,0.006996770721205597,0.253280091272105,0.8152572512626648
s1_random_1_percent,42,0.007176175098672408,0.253280091272105,0.8149248361587524
s1_random_1_percent,42,0.007176175098672408,0.25385054192812323,0.8148466348648071
s1_random_1_percent,42,0.007355579476139218,0.25385054192812323,0.8148461580276489
s1_random_1_percent,42,0.007355579476139218,0.2572732458642327,0.8143401145935059
s1_random_1_percent,42,0.007714388231072838,0.2572732458642327,0.8140997886657715
s1_random_1_percent,42,0.007714388231072838,0.25841414717626926,0.8135238289833069
s1_random_1_percent,42,0.007893792608539648,0.25841414717626926,0.8134174942970276
s1_random_1_percent,42,0.007893792608539648,0.25955504848830574,0.8131141066551208
s1_random_1_percent,42,0.008252601363473269,0.25955504848830574,0.8126304149627686
s1_random_1_percent,42,0.008252601363473269,0.26012549914432403,0.812518298625946
s1_random_1_percent,42,0.008611410118406888,0.26012549914432403,0.8116114139556885
s1_random_1_percent,42,0.008611410118406888,0.26240730176839705,0.8102182149887085
s1_random_1_percent,42,0.008790814495873699,0.26240730176839705,0.8102174401283264
s1_random_1_percent,42,0.008790814495873699,0.26354820308043353,0.8098957538604736
s1_random_1_percent,42,0.00897021887334051,0.26354820308043353,0.8097344636917114
s1_random_1_percent,42,0.00897021887334051,0.26811180832857956,0.8070889115333557
s1_random_1_percent,42,0.00914962325080732,0.26811180832857956,0.8070816993713379
s1_random_1_percent,42,0.00914962325080732,0.2738163148887621,0.8041597604751587
s1_random_1_percent,42,0.009329027628274129,0.2738163148887621,0.8041483163833618
s1_random_1_percent,42,0.009329027628274129,0.2749572162007986,0.8031166195869446
s1_random_1_percent,42,0.00968783638320775,0.2749572162007986,0.8024600744247437
s1_random_1_percent,42,0.00968783638320775,0.2772390188248717,0.8012635111808777
s1_random_1_percent,42,0.009867240760674561,0.2772390188248717,0.8009743690490723
s1_random_1_percent,42,0.009867240760674561,0.28237307472903594,0.7990131378173828
s1_random_1_percent,42,0.010046645138141371,0.28237307472903594,0.7988784313201904
s1_random_1_percent,42,0.010046645138141371,0.2852253280091272,0.7970074415206909
s1_random_1_percent,42,0.01022604951560818,0.2852253280091272,0.7969158291816711
s1_random_1_percent,42,0.01022604951560818,0.29092983456930976,0.7934648990631104
s1_random_1_percent,42,0.010584858270541802,0.29092983456930976,0.7928610444068909
s1_random_1_percent,42,0.010764262648008612,0.29092983456930976,0.7927944660186768
s1_random_1_percent,42,0.010764262648008612,0.29207073588134624,0.7908943295478821
s1_random_1_percent,42,0.010943667025475421,0.29264118653736454,0.7908901572227478
s1_random_1_percent,42,0.010943667025475421,0.3029092983456931,0.7821760177612305
s1_random_1_percent,42,0.010943667025475421,0.3040501996577296,0.7816100716590881
s1_random_1_percent,42,0.010943667025475421,0.3057615516257844,0.7809332013130188
s1_random_1_percent,42,0.011123071402942232,0.30633200228180263,0.7808718681335449
s1_random_1_percent,42,0.011481880157875853,0.30633200228180263,0.7806349396705627
