scenario,seed,epoch,train_loss,val_loss
s4_random_10_percent,42,10,0.3060387829913696,0.30138610844041946
s4_random_10_percent,42,11,0.3047081831642897,0.3023874411614189
s4_random_10_percent,42,12,0.3046194863059825,0.3016234762659497
s4_random_10_percent,42,13,0.3033724319655902,0.30206355434638243
s4_random_10_percent,43,1,0.4322889621493334,0.31436179227234073
s4_random_10_percent,43,2,0.3252509805960124,0.30710556708559
s4_random_10_percent,43,3,0.31748149027714373,0.3051875403856209
s4_random_10_percent,43,4,0.31465396896794046,0.30373987621405785
s4_random_10_percent,43,5,0.3122598379569508,0.30356232227603497
s4_random_10_percent,43,6,0.3111562403099933,0.3029877209790313
s4_random_10_percent,43,7,0.3099583663373246,0.30295912062669433
s4_random_10_percent,43,8,0.307944101849701,0.3027108463146242
s4_random_10_percent,43,9,0.30754860922970245,0.3019150466076702
s4_random_10_percent,43,10,0.3068749650755911,0.3019095937345902
s4_random_10_percent,43,11,0.30655155448623783,0.301750502819381
s4_random_10_percent,43,12,0.3057671508126186,0.3017240403992473
s4_random_10_percent,43,13,0.3044161710698069,0.3015671809319099
s4_random_10_percent,43,14,0.3036510530485129,0.30243616905688847
s4_random_10_percent,43,15,0.30379858106849333,0.30508592903793036
s4_random_10_percent,43,16,0.30330874035604055,0.3027671129528434
s4_random_10_percent,44,1,0.45580269684642793,0.3194565148975821
s4_random_10_percent,44,2,0.32709561019390093,0.3088145142463332
s4_random_10_percent,44,3,0.31990872423564376,0.30570381803327723
s4_random_10_percent,44,4,0.3154530486407356,0.30452925509486145
s4_random_10_percent,44,5,0.31327537956042534,0.3020509112216461
s4_random_10_percent,44,6,0.31095389660047096,0.3019245427357119
s4_random_10_percent,44,7,0.30965977623782687,0.3017794757861763
s4_random_10_percent,44,8,0.3098850858823642,0.3018541984258048
s4_random_10_percent,44,9,0.3083383213148746,0.30181435189089617
s4_random_10_percent,44,10,0.30725208254731395,0.3012251030087243
s4_random_10_percent,44,11,0.30580163903541674,0.3014615416250169
s4_random_10_percent,44,12,0.306291629675731,0.3013622168712918
s4_random_10_percent,44,13,0.30429280210633847,0.30203245082677405
s5_retention_expiry,42,1,0.4442894252172555,0.32562805720765897
s5_retention_expiry,42,2,0.32466272531992113,0.3103766238757765
s5_retention_expiry,42,3,0.3152365966537115,0.30652862612321796
s5_retention_expiry,42,4,0.31200004454082475,0.304784904224704
s5_retention_expiry,42,5,0.31015084003771715,0.30487793532675356
s5_retention_expiry,42,6,0.30754793684078324,0.30350130300133926
s5_retention_expiry,42,7,0.3073165334738513,0.3028081334860898
s5_retention_expiry,42,8,0.3052115920677512,0.302559325482199
s5_retention_expiry,42,9,0.30453243712154654,0.30299317368125445
s5_retention_expiry,42,10,0.30249032346408283,0.3027233987875789
s5_retention_expiry,42,11,0.30242546192232744,0.30357059772926503
s5_retention_expiry,43,1,0.442690702870805,0.31875405238685534
s5_retention_expiry,43,2,0.3231444731756728,0.31001872489792776
s5_retention_expiry,43,3,0.31484073812628893,0.30611908469179305
s5_retention_expiry,43,4,0.31303238205256284,0.30622787017364045
s5_retention_expiry,43,5,0.3103863464107636,0.30351477892321377
s5_retention_expiry,43,6,0.3085597953371263,0.30328282545474006
s5_retention_expiry,43,7,0.30680569033335636,0.3041663147161282
s5_retention_expiry,43,8,0.3054762520022492,0.3021983280960992
s5_retention_expiry,43,9,0.303718286224491,0.3037698647704503
s5_retention_expiry,43,10,0.3031981535962762,0.30248469071182565
s5_retention_expiry,43,11,0.30329218962500515,0.30174879512108643
s5_retention_expiry,43,12,0.3027359049043763,0.30239127505160796
s5_retention_expiry,43,13,0.30151906467259343,0.3039301309206757
s5_retention_expiry,43,14,0.3010052368643881,0.3032136374635512
s5_retention_expiry,44,1,0.4706152926838268,0.3226760152402941
s5_retention_expiry,44,2,0.32475907523461234,0.3110446064989
s5_retention_expiry,44,3,0.31630091456849807,0.3068608047367932
s5_retention_expiry,44,4,0.31397717780399814,0.30522298637941303
s5_retention_expiry,44,5,0.31070967337180827,0.3046225838458769
s5_retention_expiry,44,6,0.3084287574190273,0.30308970717045575
s5_retention_expiry,44,7,0.30669491614468164,0.30240032195621847
s5_retention_expiry,44,8,0.3070293107298159,0.302803292573556
s5_retention_expiry,44,9,0.306003472668498,0.3017257566566582
s5_retention_expiry,44,10,0.3042446160164181,0.3021737925348274
s5_retention_expiry,44,11,0.30446029153278265,0.3021365025884429
s5_retention_expiry,44,12,0.3029053592098298,0.3012425075812708
s5_retention_expiry,44,13,0.30214747750633464,0.30134681039679223
s5_retention_expiry,44,14,0.3028129828515086,0.3020283268215941
s5_retention_expiry,44,15,0.3011755395003764,0.3011387760379488
s5_retention_expiry,44,16,0.2997721091304184,0.301326812631668
s5_retention_expiry,44,17,0.30020050475357557,0.30134548383952814
s5_retention_expiry,44,18,0.2993923088834182,0.3015792018121427
