scenario,forget_size,forget_percentage,method,seed,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_loss,retain_loss,delta_accuracy,delta_recall,delta_f1,delta_auroc,delta_test_loss,test_agreement_retrain,test_probability_mad,forget_ks_statistic,forget_ks_pvalue,forget_wasserstein,forget_mean_loss_gap,forget_probability_mad,forget_agreement_retrain,original_retrain_forget_ks,original_retrain_forget_ks_pvalue,original_retrain_forget_wasserstein,mia_auroc,mia_attack_advantage,mia_auc_ci_low,mia_auc_ci_high,mia_positive_control_auc,mia_positive_control_valid,mia_interpretation,mia_auc_bootstrap_std,runtime_seconds,optimizer_steps
s1_random_1_percent,342,0.010003217409108194,sisa,42,0.8460488603794186,0.7104377104377104,0.6018254420992584,0.6516368128474367,0.9006545445390557,0.32923910441195015,0.32532388238262744,-0.011737409581001779,-0.01996577296063895,-0.024961573248156066,-0.0092007939232166,0.017157022378792797,0.9440425822301078,0.049168550976129405,0.1871345029239766,1.1928797088497701e-05,0.025683260872308274,0.002403099104540174,0.042175290319779,0.9678362573099415,0.03508771929824561,0.9846787309559571,0.01511153897232438,0.48899233952327215,0.022015320953455708,0.44326908279470606,0.5265841412742382,0.502634,False,inconclusive,0.021923181543872978,8.836169457994401,600
s2_random_5_percent,1709,0.04998683787183012,sisa,42,0.8442746007915928,0.708731241473397,0.5926982316029663,0.6455420938179559,0.8988904867784193,0.33260305400889356,0.32889957671410247,-0.012146854101269255,-0.0330861380490588,-0.030366717026159895,-0.01046900786820737,0.019613461456708503,0.9403575815477003,0.05361462489254606,0.1679344645991808,1.887788409273659e-21,0.027684082114335637,0.02488435114659282,0.05385606302759207,0.9344645991808075,0.015213575190169689,0.9890271430485175,0.00862177540444608,0.503639904529115,0.007279809058230002,0.48603988247946284,0.5211950868650154,0.502634,False,inconclusive,0.009384107051491043,7.082371710217558,596
s3_simulated_data_provider_withdrawal,1698,0.04966509696101085,sisa,42,0.8433192302443019,0.7007299270072993,0.6023958927552767,0.6478527607361964,0.8992534915284904,0.33159314614178353,0.32782577680172736,-0.012692780128292669,-0.0028522532800911993,-0.020072955348160004,-0.010889528454066544,0.019762834128157436,0.9414494336017469,0.051024875572942156,0.1707891637220259,4.91514911444948e-22,0.031467888111781826,0.013774888156940113,0.05024401317470635,0.9458186101295641,0.02061248527679623,0.8636360614258392,0.013180901643351724,0.49315917292012634,0.013681654159747314,0.4737561450733282,0.5125309551457338,0.502634,False,inconclusive,0.010460678366530588,7.486980582936667,600
s4_random_10_percent,3419,0.10000292491737109,sisa,42,0.8431827487375461,0.7051630434782609,0.5921277809469481,0.6437209302325582,0.8982088934219282,0.33331744384799655,0.3296623756629877,-0.012283335608025081,-0.03194523673702232,-0.030131856955615488,-0.011228994694829297,0.020561143875462373,0.9404940630544562,0.05553807114838574,0.1974261479964902,1.128427601100857e-58,0.03624737703113503,0.020466312997309555,0.053342401483312867,0.9412108803743785,0.011991810470897923,0.9665989406325223,0.014658233475046528,0.4960545994841038,0.007890801031792405,0.4829488154003388,0.5076099264976676,0.502634,False,inconclusive,0.006972674165177861,7.545780830900185,500
s5_retention_expiry,5585,0.1633566351750563,sisa,42,0.8408625631226969,0.6968477531857814,0.5926982316029663,0.6405672009864365,0.8969495831739368,0.3349608839859006,0.3118132124982578,-0.015422410263409292,-0.01026811180832865,-0.026941482310058662,-0.011486894883771748,0.020674562584304557,0.938992766480142,0.05515253482965008,0.13339301700984782,1.0394073136853078e-43,0.06828543289092348,0.02575587073287733,0.07781204632660518,0.9072515666965085,0.035452103849597134,0.0017870094515671819,0.038242830491571414,0.6235106665202627,0.24702133304052531,0.6146614645155964,0.6332766350428671,0.502634,False,inconclusive,0.004995647648666006,8.097793793887831,500
