scenario,method,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_loss,retain_loss,delta_accuracy,delta_recall,delta_f1,delta_auroc,delta_test_loss,test_agreement_retrain,test_probability_mad,runtime_seconds,optimizer_steps
s1_random_1_percent,sisa,0.8460488603794186,0.7104377104377104,0.6018254420992584,0.6516368128474367,0.9006545445390557,0.32923910441195015,0.32532388238262744,-0.011737409581001779,-0.01996577296063895,-0.024961573248156066,-0.0092007939232166,0.017157022378792797,0.9440425822301078,0.049168550976129405,8.836169457994401,600
s2_random_5_percent,sisa,0.8442746007915928,0.708731241473397,0.5926982316029663,0.6455420938179559,0.8988904867784193,0.33260305400889356,0.32889957671410247,-0.012146854101269255,-0.0330861380490588,-0.030366717026159895,-0.01046900786820737,0.019613461456708503,0.9403575815477003,0.05361462489254606,7.082371710217558,596
s3_simulated_data_provider_withdrawal,sisa,0.8433192302443019,0.7007299270072993,0.6023958927552767,0.6478527607361964,0.8992534915284904,0.33159314614178353,0.32782577680172736,-0.012692780128292669,-0.0028522532800911993,-0.020072955348160004,-0.010889528454066544,0.019762834128157436,0.9414494336017469,0.051024875572942156,7.486980582936667,600
s4_random_10_percent,sisa,0.8431827487375461,0.7051630434782609,0.5921277809469481,0.6437209302325582,0.8982088934219282,0.33331744384799655,0.3296623756629877,-0.012283335608025081,-0.03194523673702232,-0.030131856955615488,-0.011228994694829297,0.020561143875462373,0.9404940630544562,0.05553807114838574,7.545780830900185,500
s5_retention_expiry,sisa,0.8408625631226969,0.6968477531857814,0.5926982316029663,0.6405672009864365,0.8969495831739368,0.3349608839859006,0.3118132124982578,-0.015422410263409292,-0.01026811180832865,-0.026941482310058662,-0.011486894883771748,0.020674562584304557,0.938992766480142,0.05515253482965008,8.097793793887831,500
