scenario,method,mia_auroc,mia_attack_advantage,mia_auc_ci_low,mia_auc_ci_high,mia_positive_control_auc,mia_positive_control_valid,mia_interpretation
s1_random_1_percent,sisa,0.48899233952327215,0.022015320953455708,0.44326908279470606,0.5265841412742382,0.502634,False,inconclusive
s2_random_5_percent,sisa,0.503639904529115,0.007279809058230002,0.48603988247946284,0.5211950868650154,0.502634,False,inconclusive
s3_simulated_data_provider_withdrawal,sisa,0.49315917292012634,0.013681654159747314,0.4737561450733282,0.5125309551457338,0.502634,False,inconclusive
s4_random_10_percent,sisa,0.4960545994841038,0.007890801031792405,0.4829488154003388,0.5076099264976676,0.502634,False,inconclusive
s5_retention_expiry,sisa,0.6235106665202627,0.24702133304052531,0.6146614645155964,0.6332766350428671,0.502634,False,inconclusive
