scenario,method,forget_size,forget_percentage,forget_ks_statistic,forget_ks_pvalue,forget_wasserstein,forget_mean_loss_gap,forget_probability_mad,forget_agreement_retrain,original_retrain_forget_ks,original_retrain_forget_wasserstein
s1_random_1_percent,sisa,342,0.010003217409108194,0.1871345029239766,1.1928797088497701e-05,0.025683260872308274,0.002403099104540174,0.042175290319779,0.9678362573099415,0.03508771929824561,0.01511153897232438
s2_random_5_percent,sisa,1709,0.04998683787183012,0.1679344645991808,1.887788409273659e-21,0.027684082114335637,0.02488435114659282,0.05385606302759207,0.9344645991808075,0.015213575190169689,0.00862177540444608
s3_simulated_data_provider_withdrawal,sisa,1698,0.04966509696101085,0.1707891637220259,4.91514911444948e-22,0.031467888111781826,0.013774888156940113,0.05024401317470635,0.9458186101295641,0.02061248527679623,0.013180901643351724
s4_random_10_percent,sisa,3419,0.10000292491737109,0.1974261479964902,1.128427601100857e-58,0.03624737703113503,0.020466312997309555,0.053342401483312867,0.9412108803743785,0.011991810470897923,0.014658233475046528
s5_retention_expiry,sisa,5585,0.1633566351750563,0.13339301700984782,1.0394073136853078e-43,0.06828543289092348,0.02575587073287733,0.07781204632660518,0.9072515666965085,0.035452103849597134,0.038242830491571414
