scenario,seed,epochs_completed,best_retained_validation_bce,runtime_seconds
s1_recipient_withdrawal,42,25,0.09066762988434897,22.00815587490797
s2_living_donor_withdrawal,42,20,0.09038383677932951,15.85387112479657
s3_hospital_withdrawal,42,20,0.09191856252190507,14.971274666953832
s4_invalid_consent,42,22,0.0943619081488362,16.4583884999156
s5_retention_expiry,42,18,0.09045104043382227,12.750582499895245
