scenario,forget_size,forget_percentage,method,seed,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_loss,retain_loss,delta_accuracy,delta_recall,delta_f1,delta_auroc,delta_test_loss,test_agreement_retrain,test_probability_mad,forget_ks_statistic,forget_ks_pvalue,forget_wasserstein,forget_mean_loss_gap,forget_probability_mad,forget_agreement_retrain,original_retrain_forget_ks,original_retrain_forget_ks_pvalue,original_retrain_forget_wasserstein,mia_auroc,mia_attack_advantage,mia_auc_ci_low,mia_auc_ci_high,mia_auc_bootstrap_std,runtime_seconds,optimizer_steps,selected_learning_rate,selected_retain_weight,selection_eval_sample_size,selection_best_score,mia_positive_control_auc,mia_positive_control_valid,mia_interpretation
s1_random_5_percent,1709,0.0499868378718301,gradient_ascent_neggrad_plus,42,0.8546471953050362,0.7819672131147541,0.5442099258414147,0.6417759838546923,0.909521347483457,0.323124498128891,0.3064624667167663,-0.0064146308175242,-0.0815744438106104,-0.0412875279759428,-0.0009427172977956,0.0128093957901,0.965197215777262,0.0406676195561885,0.1117612638970158,1.0321389757919202e-09,0.0613621430297887,0.0106547474861145,0.0403666086494922,0.9619660620245758,0.0397893504973668,0.1336211200145438,0.012717123555733,0.5035159608324222,0.0070319216648444,0.4817707839370339,0.523617967864344,0.0101892563487973,2.318115082976874,50,0.0005,0.5,2048.0,0.0168133701696978,0.5026336322194582,False,inconclusive
s2_random_5_percent,1709,0.0499868378718301,gradient_ascent_neggrad_plus,42,0.8512351576361403,0.6855064353665361,0.6988020536223617,0.692090395480226,0.9099627457036592,0.3167019784450531,0.3027797639369964,-0.00818889040535,0.0713063320022818,0.0109758443966346,0.0006151738237037,0.0040585994720458,0.9546881397570628,0.0332510992884635,0.0661205383265067,0.0011343027942514,0.0324519615903885,0.0036253631114959,0.0343050621449947,0.9514335868929198,0.0280866003510825,0.5104719773459839,0.0165417929555438,0.5084214948500024,0.0168429897000048,0.4894030707222048,0.5261937669673614,0.0098203477467422,1.9586102080065757,50,0.0005,0.5,2048.0,0.0063705145284199,0.5026336322194582,False,inconclusive
s3_random_10_percent,3419,0.100002924917371,gradient_ascent_neggrad_plus,42,0.8577862699604204,0.7753679318357862,0.5710211066742726,0.6576872536136662,0.9097943941914328,0.3143068552017212,0.2998493015766144,0.0002729630135116,-0.0462065031374786,-0.0168763374087776,-0.0007234509665218,0.003933310508728,0.9748874027569264,0.024539390578866,0.0608365019011406,6.351569726733914e-06,0.0176126080623617,0.006035566329956,0.0244171470403671,0.9713366481427318,0.0488446914302427,0.0005722304846163,0.0140791103503217,0.499239192985947,0.001521614028106,0.4876096095482115,0.5146521402728469,0.007371545906176,1.8694036249653436,50,0.0005,1.0,2048.0,0.0074152322233062,0.5026336322194582,False,inconclusive
s4_retention_expiry,6231,0.1822516013922606,gradient_ascent_neggrad_plus,42,0.853964787771257,0.7070952092177077,0.6651454649172847,0.6854791299235744,0.9101486999271944,0.3135820627212524,0.2984026968479156,-0.0061416678040125,0.0439247005134055,0.0054916182158004,-5.843690789131273e-05,0.0027247071266174,0.9701105500204722,0.021993538364768,0.0426897769218424,2.335094562920574e-05,0.0149181199839722,0.0108596384525299,0.02223576977849,0.9675814476007062,0.0325790402824586,0.0026824157930523,0.0144368954912542,0.5018843611009824,0.0037687222019648,0.4910507406486188,0.5129893354372159,0.0053562034596623,1.7655457920045592,50,0.0005,1.0,2048.0,0.0029308553368113,0.5026336322194582,False,inconclusive
s5_combined_gdpr_request,7618,0.2228202053291994,gradient_ascent_neggrad_plus,42,0.8591510850279787,0.7547703180212014,0.6092413006274957,0.6742424242424242,0.909938081439558,0.3123449981212616,0.2965009212493896,-0.000818889040535,-0.0079863091842555,-0.0041274817136887,-0.0005027006857483,0.0019417703151702,0.9822574041217416,0.0187618061900138,0.044893672880021,4.277864106095152e-07,0.0127384338331541,0.0110078752040863,0.0190795753151178,0.9807035967445524,0.0376739301653977,4.022106007133258e-05,0.0127887899070658,0.4979761923388121,0.0040476153223758,0.4892875732045967,0.5079288865595233,0.0049595225563222,1.8414055419852955,50,0.0005,1.0,2048.0,0.0027383215885091,0.5026336322194582,False,inconclusive
s1_random_1_percent,342,0.0100032174091081,retain_finetuning,42,0.8583321959874437,0.7460426703372333,0.6183685111237878,0.6762320648783531,0.9097705998287626,0.31230428814888,0.2970584332942962,0.0005459260270233,-0.0034227039361095,-0.0003663212172396,-8.473863350966226e-05,0.0002222061157226,0.9899003685000682,0.010495507158339,0.0292397660818713,0.9986297278505524,0.0106654776619714,0.0070700347423553,0.011010093614459,0.9883040935672516,0.0350877192982456,0.9846787309559571,0.0151115389723243,0.492493416777812,0.015013166444376,0.4540307274033035,0.5330795159194283,0.0216645776164546,7.865476207924075,3174,,,,,0.489902229451175,False,inconclusive
s2_random_5_percent,1709,0.0499868378718301,retain_finetuning,42,0.8560120103725946,0.7367706919945726,0.6195094124358242,0.6730709637434149,0.909598257004088,0.3126089870929718,0.2979563772678375,-0.0004094445202674,-0.0062749572162008,-0.0028378471007008,0.0002387623574614,-0.0003806054592132,0.983485737682544,0.0111960070207715,0.0157987126974839,0.983361434100525,0.0097095214005945,0.0079597234725952,0.0116688776761293,0.9865418373317728,0.0152135751901696,0.9890271430485176,0.008621775404446,0.5059090670977077,0.0118181341954153,0.4892663645909978,0.5252688670895589,0.0093461311295395,6.13723312492948,2540,,,,,0.489902229451175,False,inconclusive
s3_simulated_data_provider_withdrawal,1698,0.0496650969610108,retain_finetuning,42,0.8576497884536646,0.7388963660834454,0.6263548203080433,0.6779870330348873,0.909919097120094,0.3122271597385406,0.2955058813095093,0.00163777808107,0.0211066742726754,0.0100613169505309,-0.0002239228624628,0.0003968477249145,0.9855329602838816,0.0137671660631895,0.0217903415783274,0.8151146043300879,0.0074883348053151,0.0042130649089813,0.0141239650547504,0.9870435806831568,0.0206124852767962,0.8636360614258392,0.0131809016433517,0.4980991632919488,0.0038016734161023,0.4793368375945649,0.5170329562181517,0.0103245404609422,10.81638837500941,4064,,,,,0.489902229451175,False,inconclusive
s4_random_10_percent,3419,0.100002924917371,retain_finetuning,42,0.8575133069469087,0.7377598926894702,0.6274957216200798,0.6781750924784217,0.9096726591617712,0.3125244677066803,0.2964017391204834,0.0020472226013376,0.0034227039361094,0.004322305290248,0.0002347710450135,-0.0002318322658538,0.9864883308311724,0.0156597346067428,0.0155016086575021,0.8059910689758804,0.0136960371547449,0.0069031119346618,0.015063383616507,0.9836209417958468,0.0119918104708979,0.9665989406325224,0.0146582334750465,0.5021881488962674,0.0043762977925347,0.4897793531339628,0.5139321121640069,0.0066208398672467,8.601153208990581,3367,,,,,0.489902229451175,False,inconclusive
s5_retention_expiry,5585,0.1633566351750563,retain_finetuning,42,0.857240343933397,0.7399864222674813,0.6217912150598973,0.675759454432734,0.909646255094808,0.3126175701618194,0.2822810113430023,0.0009553705472907,0.0188248716486023,0.0082507711362388,0.0012097770370995,-0.0016687512397766,0.9856694417906374,0.0136071415618062,0.0213070725156669,0.1583645731201308,0.0266140338734534,0.0227228701114654,0.0277580898255109,0.9604297224709042,0.0354521038495971,0.0017870094515671,0.0382428304915714,0.594357007234976,0.1887140144699519,0.584672839946493,0.6040068077862353,0.005217287013226,5.558269084081985,2235,,,,,0.489902229451175,False,inconclusive
