display_name,scenario,seed,subset,mean_absolute_probability_difference,prediction_agreement,mean_loss_difference_full_minus_baseline,mean_true_class_confidence_difference_full_minus_baseline,record_count
Random 1%,s1_random_1_percent,42,forget,0.010891299098918554,0.9883040935672515,0.009603821172798324,-0.0014644002389402418,342
Random 1%,s1_random_1_percent,42,retain,0.010657325972161624,0.9883002924926877,0.0005797794207067853,0.0015931642870915213,33847
Random 1%,s1_random_1_percent,42,test,0.01081034478820782,0.9900368500068241,-0.0004710578636441828,0.001931270011941689,7327
Random 1%,s1_random_1_percent,43,forget,0.014000989788710233,0.9853801169590644,0.004847210737990967,-0.0023946419510750745,342
Random 1%,s1_random_1_percent,43,retain,0.015526529523821159,0.9784028126569563,-0.0034867369568430447,-1.6599087918273937e-05,33847
Random 1%,s1_random_1_percent,43,test,0.015314203292189686,0.9808925890541832,0.001154664743389038,-0.0015712942667285043,7327
Random 1%,s1_random_1_percent,44,forget,0.012349504621398165,0.9883040935672515,0.010116338985835948,-0.0022695977730970633,342
Random 1%,s1_random_1_percent,44,retain,0.0103301290049055,0.9878275770378467,-0.0003581679362704875,0.0019492728242281221,33847
Random 1%,s1_random_1_percent,44,test,0.010838357806111974,0.988399071925754,0.0008315156322918685,0.0018269993920003898,7327
Random 5%,s2_random_5_percent,42,forget,0.013411344172955638,0.9842012873025161,0.008252513431031158,-0.004383294961391798,1709
Random 5%,s2_random_5_percent,42,retain,0.011907194220851817,0.9854064039408867,-0.0010333363626562778,-0.0009525858079617814,32480
Random 5%,s2_random_5_percent,42,test,0.012290416115974723,0.981847959601474,0.00043640724333070914,-0.0016270956824058918,7327
Random 5%,s2_random_5_percent,43,forget,0.011854349859443707,0.9906377998829725,0.006799372672942571,-0.003295146884705115,1709
Random 5%,s2_random_5_percent,43,retain,0.011283722054814281,0.9872229064039408,-0.0024986973768544225,-0.00047206025784931276,32480
Random 5%,s2_random_5_percent,43,test,0.011426809919667538,0.9874437013784633,0.0008343753043816518,-0.0014980359181124858,7327
