display_name,scenario,seed,attack_score,test,attack_auroc,attack_auc_ci_low,attack_auc_ci_high,bootstrap_resamples,tpr_at_fpr_0.01,tpr_at_fpr_0.05,member_count,non_member_count,wasserstein_distance,mean_loss_difference_forget_minus_test,mean_true_class_confidence_difference_forget_minus_test
Random 1%,s1_random_1_percent,42,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.5176379056803803,0.4755232379193598,0.5618176319209329,2000,0.005847953216374269,0.06432748538011696,342,342,0.025395042190807515,0.0015238211531061197,-0.0006514146763352269
Random 1%,s1_random_1_percent,42,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.5176421804999829,0.4755274058684723,0.5618219067405354,2000,0.005847953216374269,0.06432748538011696,342,342,0.010636806857026023,0.0015238211531061197,-0.0006514146763352269
Random 1%,s1_random_1_percent,43,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.5178772955781267,0.4741969751376492,0.5600723299476762,2000,0.005847953216374269,0.05555555555555555,342,342,0.023752450595789572,0.0005973364861017738,0.0011153374090572266
Random 1%,s1_random_1_percent,43,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.5178815703977292,0.4741969751376492,0.5600806658459013,2000,0.005847953216374269,0.05555555555555555,342,342,0.009690403287456921,0.0005973364861017738,0.0011153374090572266
Random 1%,s1_random_1_percent,44,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.5160134742313874,0.4727909869703499,0.5625728856742245,2000,0.005847953216374269,0.05847953216374269,342,342,0.02996983997964937,0.0031241420316046598,-0.001896307723357027
Random 1%,s1_random_1_percent,44,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.5160134742313874,0.47279141445231015,0.5625682902431518,2000,0.005847953216374269,0.05847953216374269,342,342,0.011246092158658374,0.0031241420316046598,-0.001896307723357027
Random 5%,s2_random_5_percent,42,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.4914424067537674,0.47163633241699454,0.5104493352748897,2000,0.008777062609713282,0.047396138092451724,1709,1709,0.02249473454779128,-0.0012452072142442039,-0.00636326801466458
Random 5%,s2_random_5_percent,42,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.4914448034550846,0.47164053948377105,0.5104536193784943,2000,0.00994733762434172,0.047396138092451724,1709,1709,0.007576481929643119,-0.0012452072142442039,-0.00636326801466458
Random 5%,s2_random_5_percent,43,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.49198166455015113,0.4716219564889147,0.5116573882940314,2000,0.010532475131655939,0.04564072557050907,1709,1709,0.022035349065917746,-0.0008610147713288829,-0.005976393143540815
Random 5%,s2_random_5_percent,43,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.4919849172162246,0.4716238182122594,0.5116610946214256,2000,0.011117612638970159,0.04564072557050907,1709,1709,0.007138221431043323,-0.0008610147713288829,-0.005976393143540815
Random 5%,s2_random_5_percent,44,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.4917774313593303,0.4722621924475833,0.5104294340943089,2000,0.00994733762434172,0.04856641310708017,1709,1709,0.022104934589106826,-0.002637909857867937,-0.005711317256894888
Random 5%,s2_random_5_percent,44,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.4917748634650618,0.4722607629864405,0.5104262156668256,2000,0.00994733762434172,0.04856641310708017,1709,1709,0.007448926164252917,-0.002637909857867937,-0.005711317256894888
Different random 5%,s3_different_random_5_percent,42,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.4873743486536188,0.46787937898729787,0.5068455695777799,2000,0.008191925102399064,0.0497366881217086,1709,1709,0.029553516426983614,0.02559855161009944,-0.009107592285882093
