display_name,scenario,forget_count,forget_percentage,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,predictive_auroc_mean,predictive_auroc_std,runtime_mean,runtime_std
Random 1%,s1_random_1_percent,342,1.0003217409108194,0.8589236158500523,0.0009873315324239425,0.6779925076791216,0.004002280375512446,0.9096730002995872,0.00022379088212544127,8.860525860994434,1.2966310395081229
Random 5%,s2_random_5_percent,1709,4.998683787183012,0.8577407761248351,0.001238402037106224,0.6747698046466208,0.001932478276408646,0.9094166693445985,0.00010755926030737774,8.622917722018125,0.2580271876764364
Different random 5%,s3_different_random_5_percent,1709,4.998683787183012,0.8584231836586143,0.00043872666216242755,0.6718670201178845,0.005648352770411235,0.910113306878778,0.00029219424170914805,6.068000583676621,0.9192113718867887
Random 10%,s4_random_10_percent,3419,10.00029249173711,0.8571948500978118,0.0015033630537153561,0.676230414126875,0.0020995525374176505,0.909321526007699,0.0001008455949983386,7.385113819987358,0.8711508877075005
Date retention expiry,s5_retention_expiry,6204,18.146187370206793,0.8580137391383468,0.000630381077319053,0.6780804428211108,0.0017188360560016571,0.9097692693912798,0.00011564884418354864,7.0129721526561,1.5351523282457347
