display_name,scenario,seed,accuracy,positive_class_precision,positive_class_recall,f1_score,predictive_auroc,test_loss,accuracy_difference_from_baseline,f1_score_difference_from_baseline,predictive_auroc_difference_from_baseline
Random 1%,s1_random_1_percent,42,0.8577862699604204,0.742001361470388,0.6217912150598973,0.6765983860955928,0.9098553384622723,0.31208209675879783,0.0017742595878258438,0.001513692532303601,0.00019864455029272587
Random 1%,s1_random_1_percent,43,0.8595605295482462,0.7432795698924731,0.6309184255561894,0.6825053995680346,0.9094232533044485,0.3126894279456099,0.0019107410945816694,0.016907451507758853,-0.0006074982228426729
Random 1%,s1_random_1_percent,44,0.8594240480414904,0.7554770318021201,0.609811751283514,0.6748737373737373,0.909740409132041,0.31269620841988083,0.000682407533779239,0.0010634631852721732,-0.00039503759099934754
Random 5%,s2_random_5_percent,42,0.856421454892862,0.7347622237106497,0.6257843696520251,0.6759088108441158,0.9093594946466267,0.31298956186577276,0.0004094445202674768,0.0008241172808266528,-0.00029719926535287655
Random 5%,s2_random_5_percent,43,0.8579227514671762,0.7496493688639552,0.609811751283514,0.6725385341302297,0.9095407411683002,0.31236913850660253,0.0002729630135116512,0.006940586069953958,-0.0004900103589909888
Random 5%,s2_random_5_percent,44,0.858878122014467,0.7501739735560194,0.6149458071876782,0.6758620689655173,0.9093497722188687,0.3126029955490194,0.0001364815067558256,0.002051794777052085,-0.0007856745041716628
Different random 5%,s3_different_random_5_percent,42,0.8579227514671762,0.7461964038727524,0.6155162578436966,0.6745858080650203,0.9100188799312922,0.3115257722114083,0.0019107410945816694,-0.0004988854982688196,0.00036218601931259364
Different random 5%,s3_different_random_5_percent,43,0.8587416405077112,0.767910447761194,0.5869937250427838,0.6653734238603298,0.9104410379786683,0.3105968479275783,0.0010918520540466048,-0.0002245241999458969,0.0004102864513770843
Different random 5%,s3_different_random_5_percent,44,0.8586051590009554,0.7487855655794587,0.6155162578436966,0.6756418284283031,0.9098800027263735,0.3120940979331425,-0.0001364815067558256,0.0018315542398379403,-0.000255443996666882
Random 10%,s4_random_10_percent,42,0.8554660843455711,0.7322623828647925,0.6240730176839704,0.6738527871881737,0.9094378881167575,0.3127563107993061,-0.0005459260270234134,-0.001231906375115499,-0.00021880579522204346
Random 10%,s4_random_10_percent,43,0.8579227514671762,0.7421768707482993,0.6223616657159156,0.6770089978281104,0.9092671827536003,0.3129169989034592,0.0002729630135116512,0.011411049767834691,-0.0007635687736908814
Random 10%,s4_random_10_percent,44,0.8581957144806879,0.7425271739130435,0.623502567027952,0.6778294573643411,0.909259507152739,0.3129263515036016,-0.0005459260270233024,0.004019183175875907,-0.0008759395703014095
Date retention expiry,s5_retention_expiry,42,0.8576497884536646,0.7401894451962111,0.6240730176839704,0.677189724543485,0.9096374537391536,0.31276907534284193,0.0016377780810700182,0.0021050309801958766,-1.9240172825951696e-05
Date retention expiry,s5_retention_expiry,43,0.8587416405077112,0.7422402159244265,0.6274957216200798,0.6800618238021638,0.9098166534339308,0.31196758162650234,0.0010918520540466048,0.014463875741888121,-0.0002140980933603709
Date retention expiry,s5_retention_expiry,44,0.8576497884536646,0.7405149051490515,0.623502567027952,0.6769897801176835,0.909853701000755,0.31278355380066164,-0.0010918520540466048,0.0031795059292183403,-0.00028174572228534256
