display_name,scenario,seed,attack_score,baseline_mean,full_retraining_mean,mean_paired_change,median_paired_change,paired_change_ci_low,paired_change_ci_high,percentage_decreased,standardised_effect_size,record_count
Random 1%,s1_random_1_percent,42,negative_loss,-0.30465790617949606,-0.3142617273522944,-0.009603821172798324,2.6226043701171875e-05,-0.016412292959574304,-0.003429235957769886,47.953216374269005,-0.15507984265475433,342
Random 1%,s1_random_1_percent,42,true_class_confidence,0.8065231582149863,0.8050587579760461,-0.0014644002389402418,2.6017427444458008e-05,-0.0036438339201962217,0.0007201705871378641,48.24561403508772,-0.06946796302696173,342
Random 1%,s1_random_1_percent,43,negative_loss,-0.30795991379217574,-0.31280712453016674,-0.004847210737990967,9.250640869140625e-05,-0.011514919398016193,0.001525934251591735,42.10526315789473,-0.07646133162546273,342
Random 1%,s1_random_1_percent,43,true_class_confidence,0.8072519412983143,0.8048572993472393,-0.0023946419510750745,9.262561798095703e-05,-0.004803646623826863,-9.693494747387416e-05,42.10526315789473,-0.10320078299661067,342
Random 1%,s1_random_1_percent,44,negative_loss,-0.30756520959739275,-0.31768154858322867,-0.010116338985835948,0.00011134147644042969,-0.016541984908375343,-0.004193588005847227,36.84210526315789,-0.1726301626249565,342
Random 1%,s1_random_1_percent,44,true_class_confidence,0.8077354362310721,0.8054658384579751,-0.0022695977730970633,0.00010547041893005371,-0.004638110660152695,-0.00018457185629515698,37.42690058479532,-0.10667757711598745,342
Random 5%,s2_random_5_percent,42,negative_loss,-0.29454288686717756,-0.30279540029820873,-0.008252513431031158,-0.00021746009588241577,-0.011325824920120341,-0.0052972601807849025,55.8806319485079,-0.12532004528116036,1709
Random 5%,s2_random_5_percent,42,true_class_confidence,0.8053480557282114,0.8009647607668197,-0.004383294961391798,-0.00020653009414672852,-0.005719110289356421,-0.0031109945857030943,55.8806319485079,-0.1583143034216627,1709
Random 5%,s2_random_5_percent,43,negative_loss,-0.2933422914030294,-0.300141664075972,-0.006799372672942571,8.7738037109375e-05,-0.009263928695010335,-0.004405241410572638,43.00760678759509,-0.13165454650892772,1709
Random 5%,s2_random_5_percent,43,true_class_confidence,0.8068289065062172,0.8035337596215121,-0.003295146884705115,8.726119995117188e-05,-0.004269531994050989,-0.002311560216034458,43.00760678759509,-0.16093220690270194,1709
