attack,attack_score_column,attack_auroc,attack_balanced_accuracy,threshold,member_count,non_member_count,calibration_method,evaluation_split,random_seed,attack_auc_ci_low,attack_auc_ci_high,attack_auc_bootstrap_samples,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,one_sided_above_chance_permutation_p_value,permutation_resamples,test,display_name,scenario
entropy,negative_entropy,0.4968505523715977,0.502944640753828,-0.501452162861824,1698,1698,threshold selected on shadow auxiliary records,baseline_s3_simulated_data_provider_withdrawal_class_matched_forget_vs_test,42,0.47688510171904946,0.516093860576886,2000,0.0,0.00530035335689046,0.0447585394581861,0.6403596403596403,1000,,Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal
shadow_logistic,shadow_logistic_score,0.5059617703083098,0.5106007067137809,0.5,1698,1698,frozen class-balanced shadow logistic attack,baseline_s3_simulated_data_provider_withdrawal_class_matched_forget_vs_test,42,0.4859408339692009,0.5259424478567969,2000,0.0017667844522968198,0.006478209658421673,0.044169611307420496,0.27672327672327673,1000,,Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal
shadow_random_forest,shadow_random_forest_score,0.5112310818103749,0.5094228504122498,0.5,1698,1698,frozen class-balanced shadow random forest attack,baseline_s3_simulated_data_provider_withdrawal_class_matched_forget_vs_test,42,0.4915208451933719,0.531453452399553,2000,0.0005889281507656066,0.0076560659599528855,0.05182567726737338,0.11788211788211789,1000,,Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal
negative_loss,negative_model_loss,0.5066282643120644,0.5038022813688213,-0.2940543055534363,3419,3419,threshold selected on shadow auxiliary records,baseline_s4_random_10_percent_class_matched_forget_vs_test,42,0.4932716684187293,0.5204019097825449,2000,0.0,0.00467973091547236,0.04913717461245978,0.16583416583416583,1000,,Random 10%,s4_random_10_percent
true_class_confidence,true_class_confidence,0.5066279221264168,0.5038022813688213,0.7452360212802887,3419,3419,threshold selected on shadow auxiliary records,baseline_s4_random_10_percent_class_matched_forget_vs_test,42,0.4932707165456747,0.5204002533613981,2000,0.0,0.00467973091547236,0.04913717461245978,0.16583416583416583,1000,,Random 10%,s4_random_10_percent
entropy,negative_entropy,0.5058404674050634,0.507165837964317,-0.501452162861824,3419,3419,threshold selected on shadow auxiliary records,baseline_s4_random_10_percent_class_matched_forget_vs_test,42,0.4920466969219436,0.5200828052278852,2000,0.0,0.00467973091547236,0.049429657794676805,0.2087912087912088,1000,,Random 10%,s4_random_10_percent
shadow_logistic,shadow_logistic_score,0.5035266508297447,0.5055571804621235,0.5,3419,3419,frozen class-balanced shadow logistic attack,baseline_s4_random_10_percent_class_matched_forget_vs_test,42,0.4891278401832466,0.517520517730406,2000,0.0014624159110851126,0.012576776835331968,0.04650482597250658,0.2997002997002997,1000,,Random 10%,s4_random_10_percent
shadow_random_forest,shadow_random_forest_score,0.497338308940772,0.5004387247733255,0.5,3419,3419,frozen class-balanced shadow random forest attack,baseline_s4_random_10_percent_class_matched_forget_vs_test,42,0.48427466273886577,0.5117028376284325,2000,0.0017548990933021352,0.00935946183094472,0.05030710734132787,0.6433566433566433,1000,,Random 10%,s4_random_10_percent
negative_loss,negative_model_loss,0.4419432246337028,0.4769919427036705,-0.2940543055534363,5585,5585,threshold selected on shadow auxiliary records,baseline_s5_retention_expiry_class_matched_forget_vs_test,42,0.4317103607119882,0.45215299836038375,2000,0.0,0.004118173679498657,0.018621307072515667,1.0,1000,,Simulated Retention Expiry,s5_retention_expiry
true_class_confidence,true_class_confidence,0.44194343301896544,0.4769919427036705,0.7452360212802887,5585,5585,threshold selected on shadow auxiliary records,baseline_s5_retention_expiry_class_matched_forget_vs_test,42,0.43171111542837337,0.4521531879195073,2000,0.0,0.004118173679498657,0.018621307072515667,1.0,1000,,Simulated Retention Expiry,s5_retention_expiry
entropy,negative_entropy,0.435567052366415,0.464816472694718,-0.501452162861824,5585,5585,threshold selected on shadow auxiliary records,baseline_s5_retention_expiry_class_matched_forget_vs_test,42,0.424690501595079,0.44600170072029227,2000,0.0,0.004118173679498657,0.018800358102059087,1.0,1000,,Simulated Retention Expiry,s5_retention_expiry
shadow_logistic,shadow_logistic_score,0.493422431391156,0.4780662488809311,0.5,5585,5585,frozen class-balanced shadow logistic attack,baseline_s5_retention_expiry_class_matched_forget_vs_test,42,0.4825820291325192,0.5047065788162702,2000,0.0019695613249776185,0.0075201432408236344,0.05604297224709042,0.8791208791208791,1000,,Simulated Retention Expiry,s5_retention_expiry
shadow_random_forest,shadow_random_forest_score,0.49047583171767967,0.4989256938227395,0.5,5585,5585,frozen class-balanced shadow random forest attack,baseline_s5_retention_expiry_class_matched_forget_vs_test,42,0.47995454587937875,0.5012164279088928,2000,0.0010743061772605193,0.003939122649955237,0.037242614145031334,0.9690309690309691,1000,,Simulated Retention Expiry,s5_retention_expiry
