display_name,scenario,false_positive_rate,true_positive_rate,threshold
Random 1%,s1_random_1_percent,0.0,0.0,inf
Random 1%,s1_random_1_percent,0.0,0.022818026240730177,1.0
Random 1%,s1_random_1_percent,0.0,0.11237877923559612,0.9456930160522461
Random 1%,s1_random_1_percent,0.0001794043774668102,0.11237877923559612,0.94552081823349
Random 1%,s1_random_1_percent,0.0001794043774668102,0.12321734169994296,0.9365044236183167
Random 1%,s1_random_1_percent,0.0001794043774668102,0.12435824301197947,0.9364233613014221
Random 1%,s1_random_1_percent,0.0001794043774668102,0.12721049629207073,0.9339170455932617
Random 1%,s1_random_1_percent,0.0003588087549336204,0.12721049629207073,0.9337615966796875
Random 1%,s1_random_1_percent,0.0003588087549336204,0.13861950941243584,0.9244710803031921
Random 1%,s1_random_1_percent,0.0005382131324004305,0.13861950941243584,0.9244089126586914
Random 1%,s1_random_1_percent,0.0005382131324004305,0.14546491728465488,0.9176927208900452
Random 1%,s1_random_1_percent,0.0007176175098672408,0.14546491728465488,0.9173204898834229
Random 1%,s1_random_1_percent,0.0007176175098672408,0.1528807758128922,0.9096236824989319
Random 1%,s1_random_1_percent,0.000897021887334051,0.1528807758128922,0.9094473719596863
Random 1%,s1_random_1_percent,0.000897021887334051,0.15345122646891043,0.909317135810852
Random 1%,s1_random_1_percent,0.001076426264800861,0.15345122646891043,0.9091131687164307
Random 1%,s1_random_1_percent,0.001076426264800861,0.15915573302909297,0.9013510346412659
Random 1%,s1_random_1_percent,0.0012558306422676714,0.15915573302909297,0.9010329842567444
Random 1%,s1_random_1_percent,0.0012558306422676714,0.16257843696520252,0.8962118029594421
Random 1%,s1_random_1_percent,0.0014352350197344816,0.16257843696520252,0.8956677913665771
Random 1%,s1_random_1_percent,0.0014352350197344816,0.16543069024529378,0.8936735391616821
Random 1%,s1_random_1_percent,0.0016146393972012918,0.16543069024529378,0.8925942778587341
Random 1%,s1_random_1_percent,0.0016146393972012918,0.16600114090131204,0.8924028277397156
Random 1%,s1_random_1_percent,0.001794043774668102,0.16600114090131204,0.892234742641449
Random 1%,s1_random_1_percent,0.001794043774668102,0.1677124928693668,0.8893870711326599
Random 1%,s1_random_1_percent,0.002152852529601722,0.1677124928693668,0.8891069889068604
Random 1%,s1_random_1_percent,0.002152852529601722,0.16828294352538506,0.8890519738197327
Random 1%,s1_random_1_percent,0.0023322569070685323,0.16828294352538506,0.8887068629264832
Random 1%,s1_random_1_percent,0.0023322569070685323,0.17170564746149458,0.8858685493469238
Random 1%,s1_random_1_percent,0.002511661284535343,0.17170564746149458,0.8856300115585327
Random 1%,s1_random_1_percent,0.002511661284535343,0.17569880205362237,0.8821129202842712
Random 1%,s1_random_1_percent,0.002691065662002153,0.17569880205362237,0.8820466995239258
Random 1%,s1_random_1_percent,0.002691065662002153,0.18311466058185966,0.8749914765357971
Random 1%,s1_random_1_percent,0.0028704700394689632,0.18311466058185966,0.874152421951294
Random 1%,s1_random_1_percent,0.0028704700394689632,0.1865373645179692,0.8701751828193665
Random 1%,s1_random_1_percent,0.0030498744169357734,0.1865373645179692,0.8700914978981018
Random 1%,s1_random_1_percent,0.0030498744169357734,0.18824871648602395,0.8685569167137146
Random 1%,s1_random_1_percent,0.0032292787944025836,0.18824871648602395,0.8685483932495117
Random 1%,s1_random_1_percent,0.0032292787944025836,0.18996006845407873,0.8670502305030823
Random 1%,s1_random_1_percent,0.0034086831718693937,0.18996006845407873,0.8661611676216125
Random 1%,s1_random_1_percent,0.0034086831718693937,0.19053051911009697,0.8660805225372314
Random 1%,s1_random_1_percent,0.003588087549336204,0.19053051911009697,0.8655452728271484
Random 1%,s1_random_1_percent,0.003588087549336204,0.19566457501426127,0.859974205493927
Random 1%,s1_random_1_percent,0.003767491926803014,0.19566457501426127,0.8596326112747192
Random 1%,s1_random_1_percent,0.003767491926803014,0.19737592698231604,0.8582171201705933
Random 1%,s1_random_1_percent,0.003946896304269824,0.19737592698231604,0.8578808903694153
Random 1%,s1_random_1_percent,0.003946896304269824,0.1990872789503708,0.856183648109436
Random 1%,s1_random_1_percent,0.0041263006817366344,0.1990872789503708,0.8554496169090271
Random 1%,s1_random_1_percent,0.0041263006817366344,0.20365088419851682,0.8504191040992737
