scenario,fine_tuning_runtime_seconds,full_retraining_runtime_seconds,absolute_time_saved_seconds,speed_up_ratio_full_over_fine_tuning,fine_tuning_epochs,full_retraining_epochs,fine_tuning_device,full_retraining_device
s1_actor_withdrawal,17.53082633309532,45.933064833050594,28.402238499955274,2.6201311883591316,10,18,mps,mps
s2_submission_withdrawal,9.707294374937192,51.71436691703275,42.00707254209556,5.327371862807792,6,21,mps,mps
s3_agency_withdrawal,13.080732334055938,50.00206874997821,36.92133641592227,3.8225741092336905,8,22,mps,mps
s4_project_closure,7.014354125014506,61.14175854099449,54.12740441597998,8.716662639394192,5,29,mps,mps
s5_retention_expiry,9.793496083002537,51.32607337506488,41.53257729206234,5.240832583181989,7,24,mps,mps
