display_name,scenario,forget_count,forget_percentage,retain_count,accuracy,accuracy_difference_from_baseline,positive_class_precision,positive_class_recall,f1_score,f1_difference_from_baseline,roc_auc,roc_auc_difference_from_baseline,actual_epochs_run,runtime_seconds
Random 1%,s1_random_1_percent,342,1.0003217409108194,33847,0.8577862699604204,0.0017742595878258438,0.742001361470388,0.6217912150598973,0.6765983860955928,0.001513692532303601,0.9098553384622723,0.00019864455029272587,12,6.158162959036417
Random 5%,s2_random_5_percent,1709,4.998683787183012,32480,0.856421454892862,0.0004094445202674768,0.7347622237106497,0.6257843696520251,0.6759088108441158,0.0008241172808266528,0.9093594946466267,-0.00029719926535287655,15,6.309742750017904
Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal,1698,4.9665096961010855,32491,0.8560120103725946,0.0,0.7450842696629213,0.6052481460353679,0.6679257160843564,-0.007158977478932793,0.910143019982557,0.00048632607057741417,11,4.582675707992166
Random 10%,s4_random_10_percent,3419,10.00029249173711,30770,0.8554660843455711,-0.0005459260270234134,0.7322623828647925,0.6240730176839704,0.6738527871881737,-0.001231906375115499,0.9094378881167575,-0.00021880579522204346,13,5.082447624998167
Simulated Retention Expiry,s5_retention_expiry,5585,16.33566351750563,28604,0.8562849733861062,0.0002729630135116512,0.7475247524752475,0.602966343411295,0.6675086832964952,-0.007576010266793998,0.9084364780577086,-0.0012202158542710118,14,5.083568624977488
