attack,attack_score_column,attack_auroc,attack_balanced_accuracy,threshold,member_count,non_member_count,calibration_method,evaluation_split,random_seed,attack_auc_ci_low,attack_auc_ci_high,attack_auc_bootstrap_samples,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,one_sided_above_chance_permutation_p_value,permutation_resamples,analysis,match_variables
shadow_logistic,shadow_logistic_score,0.4929634708649351,0.4769024171888988,0.5,5585,5585,frozen class-balanced shadow logistic attack,S5 class-matched,42,0.4816328568622582,0.5038872300998508,2000,0.0019695613249776185,0.0075201432408236344,0.053536257833482544,0.903096903096903,1000,S5 class-matched,income_class
shadow_logistic,shadow_logistic_score,0.5118914408959284,0.5139659803043868,0.5,5585,5585,frozen class-balanced shadow logistic attack,S5 class-and-workclass-matched,42,0.5009941386407774,0.5227069714239453,2000,0.0005371530886302597,0.008236347358997314,0.053178155774395705,0.01998001998001998,1000,S5 class-and-workclass-matched,income_class_and_workclass
