display_name,scenario,attack,baseline_score_mean,baseline_score_median,full_retraining_score_mean,full_retraining_score_median,mean_paired_score_change,paired_change_ci_low,paired_change_ci_high,standardised_effect_size,percentage_decreased,baseline_forget_to_matched_test_wasserstein,full_retraining_forget_to_matched_test_wasserstein,retain_control_mean_score_change,record_count
Random 1%,s1_random_1_percent,shadow_logistic,0.4997000882486543,0.5024757684857568,0.4994855914132566,0.5024947280254396,-0.00021449683539764145,-0.00037038015276602847,-7.109179361088582e-05,-0.155059265422077,51.75438596491229,0.0012899086188823275,0.0015029006703714764,-5.342611029248763e-05,342
Random 5%,s2_random_5_percent,shadow_logistic,0.5000984617125244,0.5025055766024148,0.49995959696801706,0.5024970182498061,-0.00013886474450727318,-0.00020852164068755575,-7.119599680292233e-05,-0.09641882443342986,58.92334698654184,0.00046077357471206064,0.00036385232945026943,4.301871151609933e-05,1709
Simulated Data Provider Withdrawal (~5%),s3_simulated_data_provider_withdrawal,shadow_logistic,0.5000797180509428,0.5025142277138519,0.49992980664558345,0.5025145584289565,-0.00014991140535933103,-0.00025454083188995827,-5.588272510337751e-05,-0.07109639245402938,52.82685512367491,0.0004371815258805636,0.00034257696707746404,3.264520096307236e-05,1698
Random 10%,s4_random_10_percent,shadow_logistic,0.5000457318123585,0.5024976553030477,0.4997532959413813,0.5024938017620397,-0.0002924358709771498,-0.00036152018829021095,-0.00023108320627424298,-0.1485612460652608,50.541093887101496,0.00033479412855289816,0.00035591750566098626,-5.046630424149512e-05,3419
Simulated Retention Expiry,s5_retention_expiry,shadow_logistic,0.4993088209467694,0.5025235078162403,0.4988121998094344,0.5024994118152913,-0.0004966211373349169,-0.0006061213490038581,-0.0003933527421998043,-0.12626024202258485,58.31692032229186,0.0007835138360651401,0.0009909121007267933,7.860245097275324e-05,5585
