scenario,baseline_accuracy,accuracy,accuracy_difference
s1_random_5_percent,0.8560120103725946,0.8568308994131295,0.0008188890405349536
s2_random_5_percent,0.8560120103725946,0.8584686774941995,0.002456667121604972
s3_random_10_percent,0.8560120103725946,0.8557390473590828,-0.0002729630135117622
s4_retention_expiry,0.8560120103725946,0.8558755288658387,-0.0001364815067558256
s5_combined_gdpr_request,0.8560120103725946,0.8558755288658387,-0.0001364815067558256
