epoch,train_loss,validation_loss
1,0.587234118493503,0.5497473382422369
2,0.5561991402778457,0.5458205986091613
3,0.553863403359873,0.5446207323987566
4,0.5515560697162928,0.5444900046891139
5,0.5503022877797781,0.5440667730918619
6,0.5497078029463374,0.5456315589709531
7,0.5495415170094818,0.5458522132786957
8,0.5494220259309677,0.5444869493249044
9,0.548593293447854,0.5450831671818527
10,0.5483970921030633,0.5451537488151056
11,0.5479220790052592,0.5463446866453185
12,0.5480107416806652,0.543720973670943
13,0.5483307616395862,0.5446188598968764
14,0.547879803802418,0.5473729795631836
15,0.5474838367878012,0.5486537041363252
16,0.5472610791980582,0.5471413228497454
17,0.547356916555109,0.5440824278862568
18,0.5470280778767995,0.5456611239905444
19,0.5479104577506679,0.5438470801869867
20,0.5466622768460279,0.5452722414054239
21,0.5472457669815172,0.5459608646537141
22,0.5471785288001701,0.545707158583405
23,0.5474146255778503,0.5453922847815718
24,0.5471732027289861,0.5449568180064753
