epoch,train_loss,validation_loss
1,0.5924006338842019,0.5501954930788471
2,0.5611082308267886,0.547093621816471
3,0.5584255940207598,0.5478409059771997
4,0.5575303213137213,0.5478026196331458
5,0.5564542732061913,0.5453112388385813
6,0.5560335230431425,0.545974085418898
7,0.5552665869092278,0.5474706813430873
8,0.555009265205493,0.5463151190491585
9,0.5538406277800471,0.546234552636228
10,0.5538438079217679,0.5452530089846866
11,0.5538233257338806,0.5466607419923715
12,0.553904772494141,0.5451477950684767
13,0.5537696366352047,0.5474788278718046
14,0.5537249224043937,0.5449681859951387
15,0.5536266938646807,0.5466212074658433
16,0.5533746392747394,0.5466407634522759
17,0.5528857621702363,0.5445749577395564
18,0.5528608872580624,0.5480552094748321
19,0.5529190171923601,0.5445886680002584
20,0.552932391714547,0.5456262349181298
21,0.5533204904920775,0.5456947395275799
22,0.5523935252638527,0.5454359537314113
23,0.5527105644591056,0.5460118945335046
24,0.5525028281123926,0.5471390073898794
25,0.5524783814328276,0.5463311860859045
26,0.5527372581600052,0.5455717501088163
27,0.5528162815226934,0.5458955040628062
28,0.5525003359101867,0.5456948507862173
29,0.5524868786707197,0.5477293754523509
