epoch,train_loss,validation_loss
1,0.5835953982386349,0.5480588825877121
2,0.5576971364491431,0.5453205074857488
3,0.5556369271389607,0.5437421897590875
4,0.5533366257802962,0.5434801878347714
5,0.5527582857461737,0.5429373344362043
6,0.5510998033382177,0.5424305464981838
7,0.5514097296261394,0.5432976087457431
8,0.5506873241422038,0.5431133576185663
9,0.55046771450858,0.5431001261252231
10,0.5502442962628539,0.5429663015824757
11,0.5504524390270636,0.5430536557114564
12,0.5506728237676007,0.5444744621183699
13,0.549675852773395,0.5446864344564386
14,0.550279125633242,0.5437306551219128
15,0.5498989586777393,0.5436338608410747
16,0.5493605035119895,0.5441768520374081
17,0.5499504446668007,0.5430988480906691
18,0.5495340765074381,0.5444308460439802
