epoch,train_loss,validation_loss
1,0.5855083502055931,0.5483141604927583
2,0.5558305418072288,0.5454073280846143
3,0.5547919545775498,0.5440850192963381
4,0.5526845082545977,0.5428191178265052
5,0.5522967878916868,0.5430115355788161
6,0.5510211438256166,0.5427562981642705
7,0.5506688776232337,0.5430667027730456
8,0.5499915234848687,0.5422453912838314
9,0.5498030854326746,0.5420222736231896
10,0.5490983438310053,0.541823085943126
11,0.548932617294339,0.5430506452414944
12,0.5490137994516607,0.5428585100788658
13,0.5490937711121116,0.5434730508453353
14,0.5493031788912429,0.542959463845154
15,0.5488564633858602,0.5444770074754204
16,0.548381883024614,0.5444424822771015
17,0.548479110393823,0.5448147060718911
18,0.5484962703463689,0.54213275119086
19,0.5484868814913917,0.5424132302943149
20,0.5483766011972642,0.5432131356004559
21,0.5481447777168471,0.5457295928870776
22,0.5481992957451646,0.5441356330945347
