epoch,train_bce,retained_validation_bce
1,0.5552399405001432,0.5448878628131263
2,0.5542809525826268,0.5451275185090412
3,0.5540327312451536,0.5466576088295134
4,0.5543049100329223,0.5470718687506305
5,0.5540668530574465,0.5451432643037071
