seed,epoch,train_loss,val_loss
42,1,0.4237672304400348,0.31818538389178597
42,2,0.323883844916367,0.3073606031077044
42,3,0.31658190461618474,0.3055514028464189
42,4,0.31334321998316245,0.30388040296731345
42,5,0.3111353245970205,0.30312643675507334
42,6,0.3099228793426055,0.3029518095222679
42,7,0.3084536847455541,0.302516392816327
42,8,0.3073158806937426,0.30213062037641875
42,9,0.3073215721885341,0.3017758946990889
42,10,0.3053462011848846,0.3010408529127487
42,11,0.30500172236778217,0.3020683017025676
42,12,0.30403870783146736,0.3012388083181712
42,13,0.3027685516397813,0.3012872053533508
43,1,0.4226534958191044,0.3142235116362409
43,2,0.32332829686446757,0.3075659724083098
43,3,0.31580273458938074,0.30489482621400693
43,4,0.31382929250964503,0.3038371253902067
43,5,0.31265316654504793,0.3044964373437167
43,6,0.31102063911677824,0.3037422568281264
43,7,0.308921616319719,0.3021197322366539
43,8,0.30739464638556685,0.3046786463996149
43,9,0.3066973927537836,0.30119400627457504
43,10,0.30525841160803685,0.3032697639828525
43,11,0.3044233751173565,0.30138667116977463
43,12,0.3045882441502476,0.30154552972775617
44,1,0.4438966511477117,0.3167582205531052
44,2,0.3251234372491155,0.3087437699930023
44,3,0.3170034757590105,0.30579530116381165
44,4,0.314541377421585,0.3040421323196308
44,5,0.3117946903077071,0.3048236711556359
44,6,0.3114468984929337,0.3022613865558547
44,7,0.30871721133888297,0.30214469118942305
44,8,0.30867550398025256,0.3014445044598617
44,9,0.30809908193596874,0.301876379994138
44,10,0.3070037163929807,0.3009371434669172
44,11,0.3062371071162739,0.30096437206627596
44,12,0.3049042200555073,0.30258012725914435
44,13,0.3038158224025374,0.30072097234181816
44,14,0.3040840100768213,0.3007724405864598
44,15,0.3028750022150703,0.30146633602379774
44,16,0.30211946182459626,0.3024673194238276
