seed,false_positive_rate,true_positive_rate,threshold
42,0.0,0.0,inf
42,0.0,0.022818026240730177,1.0
42,0.0,0.11237877923559612,0.9471680521965027
42,0.0001794043774668102,0.11237877923559612,0.946792483329773
42,0.0001794043774668102,0.11294922989161438,0.9459848999977112
42,0.0003588087549336204,0.11294922989161438,0.9456111192703247
42,0.0003588087549336204,0.12492869366799772,0.9374556541442871
42,0.0003588087549336204,0.12606959498003423,0.9371975660324097
42,0.0003588087549336204,0.12721049629207073,0.9364948868751526
42,0.0005382131324004305,0.12721049629207073,0.9363970160484314
42,0.0005382131324004305,0.13120365088419852,0.933908998966217
42,0.0007176175098672408,0.13120365088419852,0.9336879253387451
42,0.0007176175098672408,0.15345122646891043,0.9128161668777466
42,0.000897021887334051,0.15345122646891043,0.9121134281158447
42,0.000897021887334051,0.15573302909298345,0.911401629447937
42,0.001076426264800861,0.15573302909298345,0.911125123500824
42,0.001076426264800861,0.15801483171705646,0.9090433120727539
42,0.0012558306422676714,0.15801483171705646,0.9061270356178284
42,0.0012558306422676714,0.16543069024529378,0.8975896239280701
42,0.0014352350197344816,0.16543069024529378,0.8972607254981995
42,0.0014352350197344816,0.16714204221334855,0.8960149884223938
42,0.0016146393972012918,0.16714204221334855,0.8958176970481873
42,0.0016146393972012918,0.16828294352538506,0.8951300382614136
42,0.001794043774668102,0.16828294352538506,0.8946624398231506
42,0.001794043774668102,0.16942384483742157,0.8928088545799255
42,0.002152852529601722,0.16942384483742157,0.8921977877616882
42,0.002152852529601722,0.17056474614945807,0.891921877861023
42,0.0023322569070685323,0.17056474614945807,0.8912037014961243
42,0.0023322569070685323,0.17341699942954936,0.88938969373703
42,0.002511661284535343,0.17341699942954936,0.888700544834137
42,0.002511661284535343,0.17455790074158586,0.8881338238716125
42,0.002691065662002153,0.17455790074158586,0.8880984783172607
42,0.002691065662002153,0.17569880205362237,0.8874619603157043
42,0.0028704700394689632,0.17569880205362237,0.8873303532600403
42,0.0028704700394689632,0.17741015402167712,0.8860146999359131
42,0.0030498744169357734,0.17741015402167712,0.8850803971290588
42,0.0030498744169357734,0.1779806046776954,0.884856641292572
42,0.0032292787944025836,0.1779806046776954,0.8845413327217102
42,0.0032292787944025836,0.19623502567027953,0.8633438348770142
42,0.0034086831718693937,0.19623502567027953,0.8632206320762634
42,0.0034086831718693937,0.19680547632629777,0.8617773652076721
42,0.003588087549336204,0.19680547632629777,0.8614821434020996
42,0.003588087549336204,0.19737592698231604,0.8600484132766724
42,0.003767491926803014,0.19737592698231604,0.8593919277191162
42,0.003767491926803014,0.19794637763833428,0.8589363694190979
42,0.003946896304269824,0.19794637763833428,0.8586052060127258
42,0.003946896304269824,0.20079863091842556,0.8557783365249634
42,0.0041263006817366344,0.20079863091842556,0.8544333577156067
42,0.0041263006817366344,0.20308043354249858,0.8495118021965027
42,0.004485109436670255,0.20308043354249858,0.8490038514137268
42,0.004485109436670255,0.20365088419851682,0.8480027914047241
42,0.0046645138141370645,0.20365088419851682,0.8474162220954895
