scenario,model,pr_auc,balanced_accuracy,bce,f1,auroc
s1_actor_withdrawal,retain_set_finetuning,0.6275693911366077,0.7005448615669208,0.5468061693025629,0.6365034606511151,0.7685930366134879
s1_actor_withdrawal,full_retraining,0.625196953517891,0.6979677107308885,0.5473767952720796,0.6338965693804404,0.7677983290012835
s2_submission_withdrawal,retain_set_finetuning,0.6280052323076148,0.6978076928670586,0.5470899745649092,0.6341140664284769,0.7681961175360644
s2_submission_withdrawal,full_retraining,0.6269841132735152,0.6987744853117451,0.5473641353933832,0.6343741659994663,0.7676460439505276
s3_agency_withdrawal,retain_set_finetuning,0.632768229970933,0.7049646353635247,0.5445691266813221,0.6424344885883347,0.7721783898703832
s3_agency_withdrawal,full_retraining,0.6315356653989791,0.7025682790480858,0.5443108271553676,0.6416137054434927,0.7719903131906871
s4_project_closure,retain_set_finetuning,0.637266666839136,0.7004456996660839,0.547695453848724,0.644678093043353,0.7709975930354231
s4_project_closure,full_retraining,0.6379746868080941,0.7021300719397218,0.5471322945199681,0.6456670053708811,0.7713714624410277
s5_retention_expiry,retain_set_finetuning,0.6324012521038311,0.7031408213563816,0.5431791034534318,0.6385902031063322,0.772557024773978
s5_retention_expiry,full_retraining,0.6317677435606652,0.7016355126468097,0.5433336430421687,0.6357716189610783,0.772686237869529
