epoch,training_loss,validation_loss
1,0.17581017317090716,0.09994011803468068
2,0.1003263304574149,0.09678419644965065
3,0.09716087804805665,0.09551289461718665
4,0.0956928665027732,0.09466244028674231
5,0.09399147690761657,0.09393401467137867
6,0.09320197309482665,0.09363820099830628
7,0.09323370384318488,0.09284329297145208
8,0.09310542264154979,0.09327807170814938
9,0.09221899660428365,0.09305776592757967
10,0.0919582820875304,0.09238402005036672
11,0.0912284943262736,0.09243002143833372
12,0.09101049133709499,0.09266750446955363
13,0.09093754983799798,0.09161900471316443
14,0.09071723947354725,0.09155890495909585
15,0.09047486790872755,0.09152831745147705
16,0.09003979261716206,0.09217446263631185
17,0.08989539514836811,0.0916751539376047
18,0.08896582892962865,0.09323380563656489
19,0.0895255910101391,0.0926091345416175
20,0.08944360726220267,0.09109218458334604
21,0.08911400194678988,0.09111804732349184
22,0.08858721820797238,0.09202679836087757
23,0.08865089439778101,0.09218207083808051
24,0.08907873435247513,0.0921441408528222
25,0.08865197514920008,0.09160416601101558
26,0.08786391401007061,0.09225061302714878
