loss,validation_pr_auc,validation_auroc,selected_threshold,validation_f1,epochs,best_validation_loss,runtime_seconds,weighted
unweighted_bce,0.2894098353094678,0.8906333746053618,0.07,0.3415730337078652,26,0.09109218458334604,26.273075958015397,False
class_weighted_bce,0.2818562058337929,0.8882244481896395,0.76,0.3248259860788863,20,0.8204837461047703,20.509569250047207,True
