model,threshold,auroc,pr_auc,brier_score,bce,precision,recall,specificity,balanced_accuracy,f1,predicted_positive_count,tn,fp,fn,tp,confusion_matrix
canonical_mlp,0.07,0.8784945929409683,0.28185606663871515,0.022991789128271618,0.09306326627518845,0.18225419664268586,0.6129032258064516,0.9220749542961609,0.7674890900513063,0.2809611829944547,834,8070,682,96,152,"[[np.int64(8070), np.int64(682)], [np.int64(96), np.int64(152)]]"
logistic_regression,0.07,0.8680960480922334,0.25946865430305965,0.02326755731684721,0.0948666992531885,0.16837315130830488,0.5967741935483871,0.9164762340036563,0.7566252137760217,0.2626441881100266,879,8021,731,100,148,"[[np.int64(8021), np.int64(731)], [np.int64(100), np.int64(148)]]"
