scenario,seed,epochs_completed,selected_retained_validation_bce,runtime_seconds
s1_recipient_withdrawal,42,7,0.09118740074502098,9.731586124980822
s2_living_donor_withdrawal,42,6,0.09130894205305311,8.254648791858926
s3_hospital_withdrawal,42,5,0.09146453455274488,6.575286957900971
s4_invalid_consent,42,5,0.09376649428296972,6.283174958080053
s5_retention_expiry,42,6,0.08972015195484598,7.132033333182335
