scenario,method_runtime_seconds,full_retraining_runtime_seconds,seconds_saved,speed_up_full_over_method,method_epochs
s1_recipient_withdrawal,9.731586124980822,36.94112924998626,27.20954312500544,3.7960029100661186,7
s2_living_donor_withdrawal,8.254648791858926,28.041029500076547,19.78638070821762,3.3969984922595087,6
s3_hospital_withdrawal,6.575286957900971,26.190132166957483,19.61484520905651,3.9831162251385845,5
s4_invalid_consent,6.283174958080053,28.528546083020046,22.245371124939993,4.540466606987099,5
s5_retention_expiry,7.132033333182335,22.477784916060045,15.34575158287771,3.1516657124245926,6
