scenario,shard,slice,rows_used,epochs,training_bce,validation_bce,runtime_seconds
s3_agency_withdrawal,1,1,1495,2,0.6576588918134122,0.6417315602302551,0.3092379999579862
s3_agency_withdrawal,1,2,3002,2,0.5991820908244017,0.5781108140945435,0.5199968750821427
s3_agency_withdrawal,1,3,4522,2,0.5608505102081248,0.5500219464302063,0.6409879999700934
s3_agency_withdrawal,1,4,6046,2,0.5622968443410901,0.5480716824531555,0.8558408340904862
s3_agency_withdrawal,1,5,7567,2,0.551336306647831,0.5465863943099976,1.168647666927427
s3_agency_withdrawal,2,1,1510,2,0.6772965891471762,0.6588917970657349,0.231964832986705
s3_agency_withdrawal,2,2,3028,2,0.6073318083661078,0.5896346569061279,0.44035012496169657
s3_agency_withdrawal,2,3,4520,2,0.5762531912432308,0.5632095336914062,0.5641612081089988
s3_agency_withdrawal,2,4,6012,2,0.5655172515613431,0.5550028085708618,0.723392958054319
s3_agency_withdrawal,2,5,7536,2,0.5586797228031604,0.552426278591156,0.9935886249877512
s3_agency_withdrawal,3,1,1509,2,0.6640494485577658,0.6580925583839417,0.2698183750035241
s3_agency_withdrawal,3,2,3001,2,0.617875489204258,0.6006761193275452,0.39125295798294246
s3_agency_withdrawal,3,3,4516,2,0.5599445555989356,0.5503519177436829,0.5396715000970289
s3_agency_withdrawal,3,4,6046,2,0.5550949510816624,0.5462985634803772,0.8116596250329167
s3_agency_withdrawal,3,5,7570,2,0.5515297606882678,0.5447349548339844,1.0365187919232994
s3_agency_withdrawal,4,1,1515,2,0.6697715332405796,0.6582299470901489,0.19402524991892278
s3_agency_withdrawal,4,2,3029,2,0.5953433211387364,0.572772741317749,0.3687570000765845
s3_agency_withdrawal,4,3,4524,2,0.5664116600569532,0.5541500449180603,0.6179467500187457
s3_agency_withdrawal,4,4,6031,2,0.559516231202502,0.5488451719284058,0.7787494580261409
s3_agency_withdrawal,4,5,7560,2,0.5537339843770184,0.5455784201622009,1.0247017910005525
s3_agency_withdrawal,5,1,1513,2,0.6772833045791177,0.6733255386352539,0.19902495807036757
s3_agency_withdrawal,5,2,3006,2,0.6469973825012456,0.632543683052063,0.6246717079775408
s3_agency_withdrawal,5,3,4526,2,0.5784706766501075,0.5598261952400208,0.7809710829751566
s3_agency_withdrawal,5,4,6040,2,0.5639064345928217,0.5494838356971741,0.825432916986756
s3_agency_withdrawal,5,5,7543,2,0.5604544951573427,0.5472679138183594,0.9921420839382336
