shard_id,slice_id,epoch,train_loss,val_loss
1,1,1,0.6564895782554359,0.6442818010143007
1,1,2,0.6389482812574733,0.6247737429814361
1,1,3,0.6183167702970449,0.6010645281054626
1,1,4,0.5918011633973372,0.5702645429945239
1,2,1,0.5636582486113609,0.5357450868079091
1,2,2,0.529287872955813,0.4981910392556593
1,2,3,0.49245995858259367,0.45980180025003076
1,2,4,0.4576233872893261,0.4234638358688797
1,3,1,0.41767958817426226,0.3926059194041379
1,3,2,0.39106455061867923,0.3703567241096054
1,3,3,0.3733816162536019,0.35175512532149056
1,3,4,0.35476853432711103,0.33892290017138144
1,4,1,0.3568160974290481,0.33279655934388996
1,4,2,0.3450666372149899,0.3311866693017654
1,4,3,0.34239696087240734,0.3259496404162659
1,4,4,0.3429425897917437,0.32279589412611365
1,5,1,0.32690385829905305,0.3213613992778128
1,5,2,0.32560078129335834,0.31868650545977584
1,5,3,0.3151350278181147,0.3174197376425267
1,5,4,0.32425340096620897,0.31637727394150866
2,1,1,0.7376642216715896,0.716335976836527
2,1,2,0.7071709507390073,0.6882901977164935
2,1,3,0.6803862250339218,0.6574928608221855
2,1,4,0.6451347445883946,0.616373212308855
2,2,1,0.60547030146359,0.5705764585266405
2,2,2,0.5584258015392817,0.5232722861598237
2,2,3,0.5129206591879415,0.4777836168671514
2,2,4,0.47215172874997235,0.43700431005374807
2,3,1,0.4295159757834429,0.40537189053376127
2,3,2,0.4036531131169949,0.3810391032708788
2,3,3,0.37913982910022404,0.3619629010505244
2,3,4,0.3611934683476275,0.34969448290690025
2,4,1,0.3672577126146497,0.3416660888628526
2,4,2,0.35799327582099094,0.33778950319796547
2,4,3,0.3558727470557011,0.33197198259417166
2,4,4,0.34660753232768265,0.3280392115782624
2,5,1,0.31544566062914686,0.3295904895727536
2,5,2,0.3183322171268449,0.3269486380606247
2,5,3,0.3135825587435194,0.32446311069680406
2,5,4,0.30714389433281736,0.3236838680471581
3,1,1,0.6989169340384634,0.6842316322693759
3,1,2,0.6758041001899898,0.6619675291420949
3,1,3,0.6503377490573459,0.6357497898991434
3,1,4,0.6222736173205905,0.6024374620301978
3,2,1,0.5797614019516616,0.5667797900795318
3,2,2,0.5415267689883361,0.5297899990663677
3,2,3,0.504825632823141,0.4944435589843326
3,2,4,0.47249870934681587,0.46380611318497916
3,3,1,0.47149730199261713,0.43498869523825034
3,3,2,0.44095971012673185,0.40965795047518144
3,3,3,0.4210681340150666,0.38804989805027595
3,3,4,0.40423561554206044,0.3692364852886658
3,4,1,0.3821657066503928,0.35377925880092626
3,4,2,0.3664740300257012,0.34465016781421365
3,4,3,0.3537942075607283,0.3373911907088389
3,4,4,0.3387546199424998,0.33263841825464924
3,5,1,0.34813242287381163,0.3281730864987229
3,5,2,0.3456243613425536,0.3253619421091426
3,5,3,0.3382876382836828,0.3229724073992575
3,5,4,0.32977103685582737,0.32083649243808593
4,1,1,0.6837508413526747,0.6721367415202435
4,1,2,0.6669842402140299,0.6553186817863031
4,1,3,0.6480232065881205,0.6324619798916726
4,1,4,0.6215615129610251,0.5985128629445183
4,2,1,0.5835174203616137,0.5580914668004564
4,2,2,0.5418496487433451,0.5130977195174259
4,2,3,0.4955050265579893,0.46821495430930987
4,2,4,0.45277593463485005,0.42913362451371617
4,3,1,0.41878516614785666,0.398812534214856
4,3,2,0.3918996885506033,0.37688545338807455
4,3,3,0.37795448965496486,0.35948441654582053
4,3,4,0.36108375013920296,0.34682123574148327
4,4,1,0.3548239346787105,0.33840848165817217
4,4,2,0.34611491929813293,0.3325592602028275
4,4,3,0.34258382404992943,0.3294903585697958
4,4,4,0.33428957247350366,0.3270484845543246
4,5,1,0.35137007974671375,0.32694116906002835
4,5,2,0.35100406349446533,0.32513837215681074
4,5,3,0.3451219242292333,0.32309981740435517
4,5,4,0.3397911831725664,0.3221889396541079
5,1,1,0.6838967789683426,0.6658681052778381
5,1,2,0.6582612011864869,0.6406683188593847
5,1,3,0.6324460370498791,0.6116578135534677
5,1,4,0.6002045744343808,0.5760992045061464
5,2,1,0.5698533312619081,0.5367946758675113
5,2,2,0.5340243076023302,0.49577538174031177
5,2,3,0.49363826032270464,0.45621830840075633
5,2,4,0.4607164568719808,0.42037065567587556
5,3,1,0.41506212330597025,0.3919705299529878
5,3,2,0.3923364085006993,0.37002682017882993
5,3,3,0.3736213534612593,0.35220450355711774
5,3,4,0.3540815599616985,0.3407989711000592
5,4,1,0.3350834875056233,0.33216447998453547
5,4,2,0.3278543719341917,0.32752570606729486
5,4,3,0.3122858269073358,0.3256855587831716
5,4,4,0.3046849238977174,0.3247196603888799
5,5,1,0.32746174146680823,0.32176313155699127
5,5,2,0.3223635841654266,0.3208706438085794
5,5,3,0.31496674581086803,0.3200033345152178
5,5,4,0.3142211377271877,0.3185538274406118
