epoch,train_loss,validation_loss
1,0.5836717071987334,0.5468492543167538
2,0.5562848731903802,0.5452110206551022
3,0.5533396718842643,0.543766945971383
4,0.5524836894444057,0.5427425727844238
5,0.5508601335797991,0.5424601473543379
6,0.5510190140860421,0.5438248611026341
7,0.550185546829587,0.5425804435412089
8,0.5491342812946864,0.5429542391300202
9,0.5491785281045096,0.543627832836575
10,0.5492326052415939,0.5439696955680847
11,0.5487885731288364,0.5439373984866672
12,0.5490998247237433,0.5437453204525842
13,0.5488771999677022,0.5450516418615977
14,0.5485636170932224,0.5434467394881778
15,0.5480446706499372,0.5429156193733216
16,0.548466998281933,0.5427312524583605
17,0.5486085639227004,0.5438677755196889
