seed,selected_threshold,best_epoch,stopping_epoch,accuracy,precision,recall,f1,balanced_accuracy,auroc,pr_auc,binary_cross_entropy
21,0.28,9,21,0.6696666666666666,0.5279126213592233,0.8033240997229917,0.6371292566825338,0.6987408187712507,0.7698871699163592,0.6285846689760396,0.5448952789655185
42,0.32,5,17,0.6757777777777778,0.534996828082047,0.7787011388119421,0.6342441714715468,0.6981664275176038,0.7686339453376476,0.6263736830058634,0.5456427590011868
84,0.3,5,17,0.6687777777777778,0.5272136474411048,0.799015081563558,0.6352624495289367,0.6971079581005062,0.7687471377440266,0.6252645857196768,0.5456854864689111
126,0.3,19,31,0.674,0.5327783558792925,0.7879347491535857,0.6357089644896946,0.6987839282196375,0.7697039748302903,0.6272771161293813,0.5449590463783587
168,0.31,5,17,0.6747777777777778,0.5337951301427372,0.7827023699599877,0.6347185823037564,0.698254332258728,0.7690224923212466,0.6269402035187465,0.5451642140675231
