metric,mean,std
pr_auc,0.6268880514699415,0.0012178688421314804
auroc,0.7691989440299141,0.0005663917875074909
f1,0.6354126848952937,0.0011072683722981411
balanced_accuracy,0.6982106929735452,0.000676298755501734
binary_cross_entropy,0.5452693569762996,0.0003741239378272055
