scenario,mean_absolute_probability_difference,median_absolute_probability_difference,maximum_absolute_probability_difference
s1_random_1_percent,0.010495506858531957,0.004002816975116806,0.2031269669532776
s2_random_5_percent,0.011196006236904737,0.004133362323045682,0.2376662790775299
s3_simulated_data_provider_withdrawal,0.013767166487831071,0.005715370178222656,0.2922516167163849
s4_random_10_percent,0.015659735280750143,0.005732221994549027,0.21356847882270813
s5_retention_expiry,0.013607142397201745,0.004445910453796442,0.26817062497138977
