scenario,accuracy_finetuned,precision_finetuned,recall_finetuned,f1_score_finetuned,roc_auc_finetuned,display_name,forget_count,forget_percentage,retain_count,accuracy_retrained,accuracy_difference_from_baseline,positive_class_precision,positive_class_recall,f1_score_retrained,f1_difference_from_baseline,roc_auc_retrained,roc_auc_difference_from_baseline,actual_epochs_run,runtime_seconds,precision_retrained,recall_retrained,accuracy_difference,precision_difference,recall_difference,f1_score_difference,roc_auc_difference,runtime_seconds_finetuned,runtime_seconds_retrained,runtime_difference_seconds,runtime_ratio_finetuned_to_retrained,prediction_agreement,mean_absolute_probability_difference,median_absolute_probability_difference,maximum_absolute_probability_difference,baseline_prediction_agreement,mean_absolute_probability_shift_from_baseline
s1_random_1_percent,0.8583321959874437,0.7460426703372333,0.6183685111237878,0.6762320648783531,0.9097705998287626,Random 1%,342,1.0003217409108194,33847,0.8577862699604204,0.0017742595878258,0.742001361470388,0.6217912150598973,0.6765983860955928,0.0015136925323036,0.9098553384622724,0.0001986445502927,12,6.158162959036417,0.742001361470388,0.6217912150598973,0.0005459260270233024,0.0040413088668452835,-0.00342270393610955,-0.0003663212172396735,-8.473863350977329e-05,7.865476207924075,6.158162959036417,1.7073132488876581,1.277243921644257,0.9899003685000682,0.010495506858531957,0.004002816975116806,0.2031269669532776,0.9903098130203357,0.00993434330165037
s2_random_5_percent,0.8560120103725946,0.7367706919945726,0.6195094124358242,0.6730709637434149,0.9095982570040881,Random 5%,1709,4.998683787183012,32480,0.856421454892862,0.0004094445202674,0.7347622237106497,0.6257843696520251,0.6759088108441158,0.0008241172808266,0.9093594946466268,-0.0002971992653528,15,6.309742750017904,0.7347622237106497,0.6257843696520251,-0.0004094445202674768,0.0020084682839228707,-0.0062749572162008604,-0.0028378471007008965,0.00023876235746134178,6.13723312492948,6.309742750017904,-0.1725096250884235,0.9726598005777757,0.983485737682544,0.011196006236904737,0.004133362323045682,0.2376662790775299,0.9912651835676266,0.007920206663548094
s3_simulated_data_provider_withdrawal,0.8576497884536646,0.7388963660834454,0.6263548203080433,0.6779870330348873,0.9099190971200941,Simulated Data Provider Withdrawal (~5%),1698,4.9665096961010855,32491,0.8560120103725946,0.0,0.7450842696629213,0.6052481460353679,0.6679257160843564,-0.0071589774789327,0.910143019982557,0.0004863260705774,11,4.582675707992166,0.7450842696629213,0.6052481460353679,0.0016377780810700182,-0.006187903579475851,0.02110667427267543,0.010061316950530919,-0.0002239228624628664,10.81638837500941,4.582675707992166,6.233712667017244,2.360277938966023,0.9855329602838815,0.013767166487831071,0.005715370178222656,0.2922516167163849,0.9888085164460215,0.01025461336640388
s4_random_10_percent,0.8575133069469087,0.7377598926894702,0.6274957216200798,0.6781750924784217,0.9096726591617711,Random 10%,3419,10.00029249173711,30770,0.8554660843455711,-0.0005459260270234,0.7322623828647925,0.6240730176839704,0.6738527871881737,-0.0012319063751154,0.9094378881167576,-0.000218805795222,13,5.082447624998167,0.7322623828647925,0.6240730176839704,0.002047222601337606,0.005497509824677671,0.003422703936109439,0.004322305290248019,0.0002347710450134599,8.601153208990581,5.082447624998167,3.518705583992414,1.69232500629924,0.9864883308311724,0.015659735280750143,0.005732221994549027,0.21356847882270813,0.9881261089122424,0.00984508836880998
s5_retention_expiry,0.857240343933397,0.7399864222674813,0.6217912150598973,0.675759454432734,0.9096462550948081,Simulated Retention Expiry,5585,16.33566351750563,28604,0.8562849733861062,0.0002729630135116,0.7475247524752475,0.602966343411295,0.6675086832964952,-0.0075760102667939,0.9084364780577086,-0.001220215854271,14,5.083568624977488,0.7475247524752475,0.602966343411295,0.0009553705472907792,-0.007538330207766175,0.01882487164860236,0.008250771136238844,0.0012097770370995686,5.558269084081985,5.083568624977488,0.474700459104497,1.0933793746330314,0.9856694417906374,0.013607142397201745,0.004445910453796442,0.26817062497138977,0.9881261089122424,0.0100580089708199
