scenario,epoch,train_loss,val_loss,is_best_epoch,best_epoch,best_val_loss,early_stopping_triggered
s1_random_1_percent,1,0.3044769257931328,0.30161506520930514,False,2,0.30120043943496533,True
s1_random_1_percent,2,0.3044920841491525,0.30120043943496533,True,2,0.30120043943496533,True
s1_random_1_percent,3,0.3039963177558037,0.30226063151893934,False,2,0.30120043943496533,True
s1_random_1_percent,4,0.30203948847162115,0.30121054390708246,False,2,0.30120043943496533,True
s1_random_1_percent,5,0.30214074204463737,0.3016132259512091,False,2,0.30120043943496533,True
s1_random_1_percent,6,0.3027517403035332,0.3032813013218284,False,2,0.30120043943496533,True
s2_random_5_percent,1,0.304621054503718,0.3006626895231983,True,1,0.3006626895231983,True
s2_random_5_percent,2,0.3040230773939875,0.30152087328930616,False,1,0.3006626895231983,True
s2_random_5_percent,3,0.3037799577407649,0.30092902462029436,False,1,0.3006626895231983,True
s2_random_5_percent,4,0.30296643533436535,0.3009180778440738,False,1,0.3006626895231983,True
s2_random_5_percent,5,0.3026934953452331,0.30234424047397845,False,1,0.3006626895231983,True
s3_simulated_data_provider_withdrawal,1,0.30519926875232567,0.30112410679870444,False,4,0.30059820636923834,True
s3_simulated_data_provider_withdrawal,2,0.3037372742170758,0.3026253537234471,False,4,0.30059820636923834,True
s3_simulated_data_provider_withdrawal,3,0.30474753053978404,0.3015538725799594,False,4,0.30059820636923834,True
s3_simulated_data_provider_withdrawal,4,0.30281665349857123,0.30059820636923834,True,4,0.30059820636923834,True
s3_simulated_data_provider_withdrawal,5,0.3025262926874213,0.302211450030984,False,4,0.30059820636923834,True
s3_simulated_data_provider_withdrawal,6,0.3020497070162959,0.30145238001441615,False,4,0.30059820636923834,True
s3_simulated_data_provider_withdrawal,7,0.3010289311539246,0.3014154868872153,False,4,0.30059820636923834,True
s3_simulated_data_provider_withdrawal,8,0.3012126886341249,0.3019196577624418,False,4,0.30059820636923834,True
s4_random_10_percent,1,0.3050002867752443,0.3012234260728051,False,3,0.3008114498046588,True
s4_random_10_percent,2,0.3039207896843025,0.301090370850455,False,3,0.3008114498046588,True
s4_random_10_percent,3,0.30342980593317004,0.3008114498046588,True,3,0.3008114498046588,True
s4_random_10_percent,4,0.303290584442249,0.30162686978065345,False,3,0.3008114498046588,True
s4_random_10_percent,5,0.3029105539673677,0.30102877136611755,False,3,0.3008114498046588,True
s4_random_10_percent,6,0.30191080569639817,0.30128141379717627,False,3,0.3008114498046588,True
s4_random_10_percent,7,0.30142814015699043,0.30123149013945616,False,3,0.3008114498046588,True
s5_retention_expiry,1,0.28975041401317914,0.30078234628286316,True,1,0.30078234628286316,True
s5_retention_expiry,2,0.287292627121515,0.30455439253205524,False,1,0.30078234628286316,True
s5_retention_expiry,3,0.2878148413391284,0.3029748523191386,False,1,0.30078234628286316,True
s5_retention_expiry,4,0.28594645271850055,0.302662975563399,False,1,0.30078234628286316,True
s5_retention_expiry,5,0.28719713434591576,0.30321071055493265,False,1,0.30078234628286316,True
