scenario,mean_absolute_probability_difference,probability_similarity
s1_random_1_percent,0.010495506858531957,0.989504493141468
s2_random_5_percent,0.011196006236904737,0.9888039937630952
s3_simulated_data_provider_withdrawal,0.013767166487831071,0.986232833512169
s4_random_10_percent,0.015659735280750143,0.9843402647192498
s5_retention_expiry,0.013607142397201745,0.9863928576027983
