scenario,accuracy,precision,recall,f1_score,roc_auc,baseline_accuracy,baseline_f1_score,baseline_roc_auc,accuracy_vs_baseline,f1_score_vs_baseline,roc_auc_vs_baseline
s1_random_1_percent,0.8583321959874437,0.7460426703372333,0.6183685111237878,0.6762320648783531,0.9097705998287626,0.8560120103725946,0.6750846935632892,0.9096566939119796,0.002320185614849146,0.0011473713150639275,0.00011390591678306361
s2_random_5_percent,0.8560120103725946,0.7367706919945726,0.6195094124358242,0.6730709637434149,0.9095982570040881,0.8560120103725946,0.6750846935632892,0.9096566939119796,0.0,-0.0020137298198742437,-5.843690789142375e-05
s3_simulated_data_provider_withdrawal,0.8576497884536646,0.7388963660834454,0.6263548203080433,0.6779870330348873,0.9099190971200941,0.8560120103725946,0.6750846935632892,0.9096566939119796,0.0016377780810700182,0.0029023394715981254,0.00026240320811454776
s4_random_10_percent,0.8575133069469087,0.7377598926894702,0.6274957216200798,0.6781750924784217,0.9096726591617711,0.8560120103725946,0.6750846935632892,0.9096566939119796,0.0015012965743141926,0.0030903989151325195,1.596524979152747e-05
s5_retention_expiry,0.857240343933397,0.7399864222674813,0.6217912150598973,0.675759454432734,0.9096462550948081,0.8560120103725946,0.6750846935632892,0.9096566939119796,0.0012283335608024304,0.0006747608694448459,-1.0438817171443127e-05
