scenario,model,pr_auc,balanced_accuracy,bce,f1,auroc
s1_actor_withdrawal,post_deletion_sisa,0.6280949334359514,0.6966706517608482,0.5479250842380092,0.6346466541588492,0.767508202398409
s1_actor_withdrawal,full_retraining,0.625196953517891,0.6979677107308885,0.5473767952720795,0.6338965693804404,0.7677983290012835
s2_submission_withdrawal,post_deletion_sisa,0.6280894662830107,0.697177864475943,0.5482397151345664,0.6339344478083454,0.7673505699888297
s2_submission_withdrawal,full_retraining,0.6269841132735153,0.6987744853117451,0.5473641353933831,0.6343741659994663,0.7676460439505276
s3_agency_withdrawal,post_deletion_sisa,0.6330505260869371,0.7024463468586628,0.5455759015011207,0.6415354874344104,0.7713914722777488
s3_agency_withdrawal,full_retraining,0.6315356653989791,0.7025682790480858,0.5443108271553676,0.6416137054434927,0.7719903131906871
s4_project_closure,post_deletion_sisa,0.6386552485863861,0.700521656912287,0.5489503918233396,0.6451520367183018,0.7702108031765069
s4_project_closure,full_retraining,0.6379746868080941,0.7021300719397218,0.5471322945199681,0.6456670053708811,0.7713714624410277
s5_retention_expiry,post_deletion_sisa,0.6327593508101197,0.7021061991459678,0.5443896866869244,0.6392627267407841,0.7717887187903217
s5_retention_expiry,full_retraining,0.6317677435606652,0.7016355126468097,0.5433336430421687,0.6357716189610783,0.772686237869529
